tipo_celular,module_size,UBE2E2_MM,UBE2E2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.072,2.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,349,0.261,72.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,1141,0.168,90.0,166,25,15.06,2.55 (1.91-3.19),141,84.94,3.54 (3.28-3.81),5.76,4.34
oligodendrocyte progenitor cells 7,666,0.073,4.0,127,7,5.51,1.42 (0.95-1.88),120,94.49,4.01 (3.68-4.34),4.43,5.92
GABA neurons expressing GLU receptors 22,459,0.149,47.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,795,0.077,14.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,289,0.347,97.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,288,0.28,82.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80),1.82,4.02
endothelial cells 9,303,0.239,66.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,676,0.528,81.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,1300,0.221,57.0,306,9,2.94,1.76 (1.04-2.47),297,97.06,5.24 (4.99-5.50),5.11,6.75
astrocytes 8,771,0.29,79.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.057,15.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.308,90.0,358,45,12.57,2.29 (1.83-2.74),313,87.43,4.12 (3.93-4.32),19.25,8.07
connective tissue cells 21,111,0.278,49.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,458,0.114,61.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287,0.118,6.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77),2.42,3.52
da neurons 6,398,0.28,84.0,138,10,7.25,1.49 (0.85-2.13),128,92.75,5.14 (4.79-5.48),2.60,2.74
astrocytes microglia 23,229,0.257,36.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,514,0.171,44.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,261,0.099,8.0,42,6,14.29,1.29 (0.87-1.70),36,85.71,4.70 (4.08-5.32),2.22,2.28
microglia 1,315,0.125,26.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79),4.15,4.21
oligodendrocytes 3,99,0.129,9.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237,0.249,64.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
