tipo_celular,module_size,LPIN1_MM,LPIN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.123,25.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,727,0.108,22.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,222,0.15,25.0,98,3,3.06,1.76 (0.79-2.74),95,96.94,4.71 (4.30-5.11),2.81,2.65
oligodendrocyte progenitor cells 7,200,0.245,77.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,599,0.246,69.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316,0.195,92.0,101,3,2.97,2.52 (2.07-2.98),98,97.03,3.07 (2.71-3.44),2.31,3.08
da like neurons 11,61,0.279,45.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,357,0.093,11.0,237,6,2.53,4.16 (3.58-4.75),231,97.47,4.42 (4.18-4.66),3.81,4.19
endothelial cells 9,450,0.119,19.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08),4.42,3.63
oligodendrocytes 20,279,0.151,28.0,16,2,12.5,4.17 (NA-NA),14,87.5,2.26 (1.50-3.01),1.62,3.75
GABA like neurons 14,1300,0.086,7.0,306,14,4.58,2.22 (1.40-3.03),292,95.42,5.30 (5.05-5.55),5.09,6.78
astrocytes 8,279,0.193,18.0,78,14,17.95,4.19 (3.19-5.18),64,82.05,4.35 (3.89-4.80),2.49,2.75
oligodendrocyte progenitor cells 12,3303,0.114,85.0,276,60,21.74,2.62 (2.29-2.95),216,78.26,3.88 (3.63-4.14),8.63,4.13
oligodendrocytes 10,806,0.084,20.0,261,15,5.75,2.85 (2.38-3.32),246,94.25,4.49 (4.24-4.74),6.53,6.04
connective tissue cells 21,103,0.346,84.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,418,0.322,73.0,54,2,3.7,1.79 (0.82-2.75),52,96.3,3.76 (3.32-4.20),3.07,3.01
oligodendrocytes 16,158,0.132,5.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,518,0.081,17.0,122,20,16.39,2.24 (1.66-2.83),102,83.61,4.47 (4.05-4.88),5.61,3.07
astrocytes microglia 23,42,0.284,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.195,57.0,95,8,8.42,2.61 (1.32-3.89),87,91.58,3.46 (3.02-3.91),2.67,4.82
oligodendrocytes 0,2078,0.108,38.0,238,20,8.4,2.84 (2.19-3.49),218,91.6,3.71 (3.48-3.95),5.63,4.97
microglia 1,127,0.089,5.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,94,0.147,70.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921,0.153,76.0,200,10,5.0,4.53 (2.81-6.25),190,95.0,3.57 (3.31-3.84),3.19,3.48
