tipo_celular,module_size,MED4_MM,MED4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.169,57.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,477,0.175,59.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.118,54.0,136,8,5.88,3.03 (1.94-4.11),128,94.12,3.22 (2.94-3.50),6.42,4.90
oligodendrocyte progenitor cells 7,4285,0.169,93.0,353,60,17.0,2.28 (1.96-2.60),293,83.0,4.33 (4.14-4.51),20.37,5.54
GABA neurons expressing GLU receptors 22,848,0.139,18.0,262,11,4.2,1.76 (0.98-2.55),251,95.8,4.28 (4.04-4.52),4.08,4.10
GLU like neurons 17,1316,0.174,86.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,89,0.078,8.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,67,0.143,28.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,559,0.067,8.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,295,0.158,38.0,28,9,32.14,2.72 (2.18-3.27),19,67.86,1.95 (1.36-2.55),1.93,3.61
GABA like neurons 14,2402,0.052,1.0,455,23,5.05,1.65 (1.19-2.11),432,94.95,4.54 (4.37-4.72),20.52,8.21
astrocytes 8,218,0.139,64.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,708,0.048,15.0,32,8,25.0,1.17 (0.33-2.00),24,75.0,4.08 (3.24-4.92),3.73,2.22
oligodendrocytes 10,735,0.082,39.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,85,0.382,85.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,458,0.068,32.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,107,0.242,67.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,409,0.061,6.0,235,7,2.98,2.20 (1.44-2.97),228,97.02,4.05 (3.80-4.30),5.57,4.38
astrocytes microglia 23,111,0.253,8.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807,0.142,45.0,104,30,28.85,2.25 (1.74-2.75),74,71.15,3.14 (2.82-3.46),9.73,3.64
oligodendrocytes 0,2078,0.118,57.0,238,20,8.4,3.07 (2.49-3.64),218,91.6,3.70 (3.46-3.93),5.71,4.96
microglia 1,958,0.107,44.0,290,17,5.86,2.52 (1.85-3.18),273,94.14,3.90 (3.66-4.13),4.04,5.06
oligodendrocytes 3,1003,0.063,14.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,921,0.126,31.0,200,6,3.0,2.77 (2.01-3.52),194,97.0,3.65 (3.38-3.92),2.68,3.49
