tipo_celular,module_size,SEC23A_MM,SEC23A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.119,24.0,97,5,5.15,3.59 (3.22-3.95),92,94.85,3.02 (2.60-3.44),4.42,4.93
T cells 18,282,0.096,19.0,241,5,2.07,2.75 (2.19-3.30),236,97.93,4.10 (3.84-4.35),2.22,4.38
astrocytes 5,1141,0.141,65.0,166,9,5.42,3.30 (1.85-4.74),157,94.58,3.40 (3.14-3.65),3.69,4.60
oligodendrocyte progenitor cells 7,4285,0.128,39.0,353,32,9.07,2.48 (1.89-3.08),321,90.93,4.07 (3.89-4.25),20.79,6.80
GABA neurons expressing GLU receptors 22,599,0.264,74.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.179,71.0,135,8,5.93,2.65 (1.76-3.54),127,94.07,3.23 (2.91-3.55),2.69,3.82
da like neurons 11,1220,0.085,9.0,410,24,5.85,3.06 (2.58-3.54),386,94.15,4.35 (4.16-4.55),8.98,7.42
GABA neurons expressing GABA receptors 13,266,0.133,33.0,118,3,2.54,2.88 (2.47-3.28),115,97.46,4.80 (4.44-5.16),2.28,4.04
endothelial cells 9,1653,0.098,25.0,297,1,0.34,4.85 (NA-NA),296,99.66,3.67 (3.46-3.87),7.19,5.51
oligodendrocytes 20,298,0.044,12.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052,0.175,79.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.047,16.0,83,1,1.2,3.82 (NA-NA),82,98.8,3.24 (2.79-3.70),1.53,4.51
oligodendrocyte progenitor cells 12,3303,0.127,92.0,276,18,6.52,3.00 (2.33-3.68),258,93.48,3.59 (3.36-3.82),8.39,4.88
oligodendrocytes 10,806,0.118,33.0,261,20,7.66,3.10 (2.65-3.55),241,92.34,4.51 (4.25-4.77),7.40,5.95
connective tissue cells 21,111,0.28,50.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768,0.049,13.0,105,15,14.29,2.42 (1.73-3.11),90,85.71,3.36 (2.99-3.73),4.18,3.95
oligodendrocytes 16,123,0.21,50.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,553,0.142,60.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,72,0.235,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.149,44.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.099,20.0,238,13,5.46,3.52 (2.64-4.40),225,94.54,3.64 (3.42-3.87),5.75,4.98
microglia 1,958,0.099,31.0,290,6,2.07,2.52 (1.56-3.48),284,97.93,3.85 (3.62-4.08),4.82,5.00
oligodendrocytes 3,854,0.081,39.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.144,63.0,200,7,3.5,2.83 (2.06-3.60),193,96.5,3.66 (3.38-3.93),4.65,3.42
