tipo_celular,module_size,YAF2_MM,YAF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.189,36.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,393,0.139,41.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,1141,0.132,51.0,166,39,23.49,2.43 (2.07-2.79),127,76.51,3.77 (3.48-4.06),5.82,4.16
oligodendrocyte progenitor cells 7,4285,0.118,25.0,353,56,15.86,2.18 (1.88-2.49),297,84.14,4.32 (4.14-4.50),21.40,5.55
GABA neurons expressing GLU receptors 22,823,0.096,7.0,23,2,8.7,2.39 (-0.32-5.11),21,91.3,2.40 (1.62-3.18),1.79,3.58
GLU like neurons 17,1316,0.166,81.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,265,0.202,57.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,101,0.13,17.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,1653,0.121,45.0,297,3,1.01,5.16 (5.16-5.16),294,98.99,3.66 (3.46-3.87),8.60,5.49
oligodendrocytes 20,938,0.111,42.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75),3.75,5.39
GABA like neurons 14,3052,0.156,65.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,260,0.206,84.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA,2.24,1.63
oligodendrocyte progenitor cells 12,218,0.384,87.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.162,55.0,358,69,19.27,2.29 (2.00-2.58),289,80.73,4.40 (4.22-4.59),24.04,6.00
connective tissue cells 21,86,0.298,65.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22),1.55,1.45
astrocytes 15,377,0.188,75.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,82,0.172,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729,0.145,47.0,182,4,2.2,1.44 (1.34-1.53),178,97.8,3.70 (3.45-3.95),3.86,8.63
astrocytes microglia 23,161,0.21,4.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,752,0.157,55.0,96,14,14.58,2.92 (2.56-3.29),82,85.42,3.37 (2.98-3.76),2.65,4.60
oligodendrocytes 0,2078,0.112,44.0,238,16,6.72,2.67 (2.12-3.23),222,93.28,3.71 (3.48-3.94),5.66,4.98
microglia 1,1615,0.134,80.0,161,55,34.16,2.17 (1.87-2.48),106,65.84,4.06 (3.75-4.36),9.07,3.54
oligodendrocytes 3,681,0.092,48.0,87,52,59.77,2.51 (2.20-2.82),35,40.23,2.71 (2.19-3.23),5.15,2.89
oligodendrocytes 2,921,0.113,15.0,200,2,1.0,1.32 (NA-NA),198,99.0,3.64 (3.37-3.90),3.45,3.46
