tipo_celular,module_size,GOLGB1_MM,GOLGB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.113,5.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,624,0.17,64.0,142,1,0.7,6.89 (NA-NA),141,99.3,3.18 (2.92-3.44),2.02,4.31
astrocytes 5,1141,0.148,74.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70),6.49,4.51
oligodendrocyte progenitor cells 7,4285,0.125,33.0,353,31,8.78,2.42 (1.84-3.00),322,91.22,4.08 (3.89-4.26),21.11,6.81
GABA neurons expressing GLU receptors 22,203,0.195,21.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,380,0.154,38.0,39,3,7.69,3.16 (1.74-4.57),36,92.31,2.95 (2.36-3.54),2.31,2.59
da like neurons 11,289,0.106,18.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,238,0.097,10.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,559,0.096,21.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,358,0.189,67.0,31,1,3.23,3.60 (NA-NA),30,96.77,2.32 (1.88-2.75),1.83,3.90
GABA like neurons 14,1300,0.143,20.0,306,9,2.94,2.03 (1.37-2.69),297,97.06,5.23 (4.97-5.49),4.55,6.77
astrocytes 8,354,0.169,75.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.107,81.0,276,12,4.35,2.89 (1.93-3.85),264,95.65,3.58 (3.36-3.80),6.83,5.03
oligodendrocytes 10,806,0.092,23.0,261,7,2.68,2.54 (1.79-3.28),254,97.32,4.43 (4.19-4.68),11.47,5.92
connective tissue cells 21,139,0.257,22.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768,0.088,51.0,105,15,14.29,2.24 (1.64-2.84),90,85.71,3.39 (3.02-3.76),3.96,3.98
oligodendrocytes 16,74,0.105,3.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,553,0.241,91.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,190,0.218,18.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752,0.145,38.0,96,2,2.08,NA,94,97.92,3.29 (2.96-3.62),1.61,4.38
oligodendrocytes 0,1186,0.105,6.0,300,3,1.0,5.21 (NA-NA),297,99.0,3.79 (3.58-3.99),1.79,4.18
microglia 1,1615,0.127,73.0,161,15,9.32,1.34 (0.78-1.91),146,90.68,3.52 (3.26-3.78),11.31,4.83
oligodendrocytes 3,357,0.311,99.0,127,1,0.79,6.89 (NA-NA),126,99.21,3.08 (2.76-3.41),1.52,4.26
oligodendrocytes 2,804,0.119,13.0,84,9,10.71,1.37 (0.67-2.07),75,89.29,2.79 (2.45-3.14),3.24,3.42
