tipo_celular,module_size,OGDH_MM,OGDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.227,92.0,71,3,4.23,1.12 (0.21-2.02),68,95.77,2.70 (2.28-3.12),3.50,3.58
T cells 18,477,0.195,72.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,932,0.097,33.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285,0.138,55.0,353,25,7.08,1.33 (1.02-1.65),328,92.92,4.15 (3.97-4.32),33.43,6.13
GABA neurons expressing GLU receptors 22,714,0.191,56.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03),2.53,3.79
GLU like neurons 17,1247,0.164,70.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,109,0.214,47.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,357,0.107,20.0,237,11,4.64,3.21 (2.26-4.16),226,95.36,4.46 (4.23-4.70),2.64,4.26
endothelial cells 9,303,0.095,22.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,330,0.158,44.0,36,4,11.11,2.15 (1.86-2.43),32,88.89,1.89 (1.50-2.28),5.56,2.82
GABA like neurons 14,2090,0.178,66.0,74,2,2.7,1.98 (0.90-3.05),72,97.3,2.97 (2.59-3.36),4.43,10.67
astrocytes 8,283,0.216,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.123,91.0,276,19,6.88,1.89 (1.47-2.31),257,93.12,3.71 (3.48-3.93),14.53,4.41
oligodendrocytes 10,2107,0.05,6.0,358,20,5.59,1.16 (0.83-1.50),338,94.41,4.08 (3.90-4.26),40.07,7.66
connective tissue cells 21,142,0.273,27.0,55,3,5.45,0.48 (0.39-0.58),52,94.55,3.77 (2.93-4.61),2.71,3.32
astrocytes 15,1401,0.089,53.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,64,0.217,70.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,300,0.147,46.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,166,0.14,3.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,721,0.134,19.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.101,24.0,238,5,2.1,1.72 (0.72-2.71),233,97.9,3.69 (3.46-3.91),10.88,4.90
microglia 1,958,0.114,56.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05),3.01,5.01
oligodendrocytes 3,681,0.062,17.0,87,13,14.94,1.33 (0.95-1.71),74,85.06,2.83 (2.54-3.11),7.17,3.73
oligodendrocytes 2,921,0.113,14.0,200,1,0.5,1.74 (NA-NA),199,99.5,3.63 (3.37-3.90),2.36,3.47
