tipo_celular,module_size,EIF4A2_MM,EIF4A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.341,96.0,21,1,4.76,0.26 (NA-NA),20,95.24,2.41 (1.78-3.03),2.76,1.97
T cells 18,393,0.213,78.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,228,0.175,51.0,266,13,4.89,2.34 (1.27-3.41),253,95.11,4.18 (3.98-4.39),4.65,5.00
oligodendrocyte progenitor cells 7,628,0.203,70.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,848,0.357,87.0,262,20,7.63,3.17 (2.24-4.10),242,92.37,4.24 (3.99-4.50),3.78,4.13
GLU like neurons 17,229,0.214,62.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220,0.381,91.0,410,21,5.12,3.47 (2.57-4.38),389,94.88,4.29 (4.10-4.48),9.44,7.41
GABA neurons expressing GABA receptors 13,200,0.098,7.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,559,0.183,60.0,155,1,0.65,5.19 (NA-NA),154,99.35,4.33 (3.96-4.70),1.97,4.35
oligodendrocytes 20,330,0.166,49.0,36,9,25.0,1.91 (1.57-2.25),27,75.0,1.93 (1.47-2.39),2.35,3.38
GABA like neurons 14,2402,0.67,98.0,455,31,6.81,2.76 (2.01-3.52),424,93.19,4.48 (4.30-4.67),15.84,8.32
astrocytes 8,520,0.213,73.0,288,17,5.9,2.69 (1.99-3.39),271,94.1,4.26 (4.06-4.46),4.02,4.73
oligodendrocyte progenitor cells 12,3303,0.072,41.0,276,27,9.78,2.08 (1.60-2.55),249,90.22,3.76 (3.53-3.98),8.35,4.76
oligodendrocytes 10,735,0.282,98.0,277,3,1.08,7.18 (5.03-9.33),274,98.92,3.86 (3.62-4.10),2.02,9.02
connective tissue cells 21,142,0.282,30.0,55,5,9.09,2.01 (1.25-2.76),50,90.91,3.72 (2.76-4.69),2.57,3.36
astrocytes 15,1768,0.121,79.0,105,19,18.1,2.05 (1.16-2.94),86,81.9,3.48 (3.14-3.81),5.76,3.58
oligodendrocytes 16,158,0.253,81.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,409,0.129,54.0,235,8,3.4,2.02 (1.43-2.62),227,96.6,4.07 (3.82-4.32),3.85,4.43
astrocytes microglia 23,125,0.26,13.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,1807,0.145,52.0,104,17,16.35,1.69 (1.13-2.25),87,83.65,3.12 (2.82-3.41),8.40,4.81
oligodendrocytes 0,613,0.186,83.0,127,12,9.45,3.22 (2.00-4.45),115,90.55,3.02 (2.58-3.46),3.20,6.60
microglia 1,406,0.126,27.0,278,5,1.8,3.84 (2.70-4.99),273,98.2,4.38 (4.10-4.65),21.51,6.47
oligodendrocytes 3,457,0.148,64.0,345,12,3.48,3.74 (3.01-4.46),333,96.52,4.29 (4.08-4.50),2.94,5.79
oligodendrocytes 2,528,0.235,67.0,175,9,5.14,5.24 (2.94-7.53),166,94.86,4.35 (3.99-4.70),2.67,4.73
