tipo_celular,module_size,BMPR2_MM,BMPR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.161,19.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,727,0.172,72.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,932,0.113,55.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,448,0.108,26.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459,0.017,1.0,165,22,13.33,3.10 (2.58-3.62),143,86.67,5.53 (5.19-5.88),4.14,4.08
GLU like neurons 17,1247,0.149,61.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,132,0.33,71.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,238,0.242,82.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,658,0.375,90.0,120,56,46.67,4.33 (3.93-4.73),64,53.33,4.90 (4.42-5.39),4.18,3.19
oligodendrocytes 20,330,0.027,3.0,36,15,41.67,1.95 (1.74-2.16),21,58.33,1.90 (1.29-2.50),2.59,3.51
GABA like neurons 14,1300,0.13,16.0,306,55,17.97,3.35 (2.98-3.71),251,82.03,5.67 (5.39-5.94),6.58,6.73
astrocytes 8,577,0.082,48.0,83,6,7.23,2.71 (1.50-3.91),77,92.77,3.30 (2.83-3.78),2.35,4.64
oligodendrocyte progenitor cells 12,153,0.488,85.0,27,2,7.41,3.84 (3.01-4.67),25,92.59,4.93 (3.77-6.08),3.59,2.03
oligodendrocytes 10,806,0.126,38.0,261,3,1.15,2.99 (1.26-4.72),258,98.85,4.39 (4.14-4.63),6.43,6.06
connective tissue cells 21,145,0.206,9.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1401,0.116,75.0,96,9,9.38,3.27 (2.45-4.10),87,90.62,3.65 (3.16-4.14),2.62,3.92
oligodendrocytes 16,75,0.186,46.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,553,0.214,88.0,124,4,3.23,2.29 (0.34-4.24),120,96.77,4.25 (3.85-4.64),2.21,3.06
astrocytes microglia 23,253,0.349,96.0,47,6,12.77,2.16 (1.58-2.73),41,87.23,2.96 (2.60-3.32),1.98,3.24
astrocytes 4,251,0.094,4.0,34,5,14.71,3.78 (2.69-4.88),29,85.29,5.61 (4.98-6.24),2.83,3.11
oligodendrocytes 0,1186,0.123,20.0,300,22,7.33,3.65 (3.32-3.98),278,92.67,3.81 (3.58-4.03),5.32,4.06
microglia 1,1615,0.095,28.0,161,60,37.27,2.25 (1.96-2.53),101,62.73,4.08 (3.76-4.40),8.84,3.41
oligodendrocytes 3,32,0.054,13.0,81,2,2.47,3.79 (3.68-3.90),79,97.53,4.05 (3.74-4.36),4.58,7.95
oligodendrocytes 2,347,0.151,25.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
