tipo_celular,module_size,RAD21_MM,RAD21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.243,71.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,518,0.188,70.0,131,4,3.05,3.20 (1.97-4.43),127,96.95,3.07 (2.79-3.35),3.07,4.81
astrocytes 5,1656,0.122,61.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54),8.04,4.90
oligodendrocyte progenitor cells 7,628,0.158,45.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,848,0.167,31.0,262,9,3.44,1.85 (0.98-2.73),253,96.56,4.28 (4.03-4.52),4.61,4.09
GLU like neurons 17,1316,0.039,1.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,1220,0.237,67.0,410,6,1.46,2.48 (1.21-3.74),404,98.54,4.28 (4.10-4.47),14.97,7.40
GABA neurons expressing GABA receptors 13,238,0.148,39.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.102,32.0,191,1,0.52,2.23 (NA-NA),190,99.48,3.90 (3.67-4.12),4.44,9.18
oligodendrocytes 20,253,0.119,28.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402,0.258,57.0,455,26,5.71,1.86 (1.36-2.36),429,94.29,4.56 (4.38-4.73),22.02,8.04
astrocytes 8,520,0.11,47.0,288,9,3.12,2.81 (1.76-3.86),279,96.88,4.23 (4.03-4.43),9.22,4.54
oligodendrocyte progenitor cells 12,708,0.082,33.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,806,0.163,52.0,261,3,1.15,2.23 (1.01-3.46),258,98.85,4.40 (4.16-4.64),8.79,6.03
connective tissue cells 21,110,0.307,72.0,13,3,23.08,2.92 (0.96-4.87),10,76.92,3.17 (2.21-4.14),1.78,1.68
astrocytes 15,261,0.06,12.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,94,0.152,13.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14),1.76,1.89
da neurons 6,307,0.12,51.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,96,0.246,9.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,1807,0.15,59.0,104,25,24.04,1.81 (1.41-2.22),79,75.96,3.23 (2.92-3.54),11.21,3.56
oligodendrocytes 0,613,0.236,96.0,127,18,14.17,2.39 (2.01-2.77),109,85.83,3.24 (2.73-3.76),3.75,6.69
microglia 1,1615,0.106,45.0,161,54,33.54,2.13 (1.80-2.45),107,66.46,4.04 (3.75-4.33),9.33,3.47
oligodendrocytes 3,743,0.128,88.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.287,82.0,175,7,4.0,3.72 (2.12-5.32),168,96.0,4.42 (4.06-4.78),3.11,4.68
