tipo_celular,module_size,QKI_MM,QKI_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.183,47.0,102,51,50.0,3.41 (2.86-3.96),51,50.0,3.60 (3.14-4.06),3.56,2.51
T cells 18,349,0.435,90.0,68,9,13.24,2.59 (1.44-3.75),59,86.76,4.74 (4.17-5.31),3.02,3.36
astrocytes 5,165,0.125,21.0,51,1,1.96,5.98 (NA-NA),50,98.04,5.33 (4.65-6.01),2.02,2.97
oligodendrocyte progenitor cells 7,229,0.173,41.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.269,76.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.72,100.0,91,16,17.58,2.28 (1.33-3.24),75,82.42,5.24 (4.77-5.72),2.96,3.08
da like neurons 11,408,0.61,96.0,25,6,24.0,1.66 (0.26-3.06),19,76.0,5.88 (4.57-7.18),2.09,2.34
GABA neurons expressing GABA receptors 13,288,0.576,99.0,93,16,17.2,3.60 (2.75-4.45),77,82.8,5.60 (5.06-6.13),4.50,3.84
endothelial cells 9,450,0.374,77.0,74,2,2.7,5.07 (4.64-5.50),72,97.3,5.48 (4.91-6.06),4.86,3.60
oligodendrocytes 20,676,0.072,31.0,110,14,12.73,3.30 (2.38-4.23),96,87.27,5.36 (4.90-5.82),3.64,3.51
GABA like neurons 14,1300,0.083,6.0,306,31,10.13,3.42 (2.80-4.04),275,89.87,5.39 (5.12-5.66),7.76,6.59
astrocytes 8,771,0.354,86.0,48,4,8.33,0.79 (NA-NA),44,91.67,4.53 (3.78-5.27),2.26,3.22
oligodendrocyte progenitor cells 12,708,0.284,86.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89),1.61,2.62
oligodendrocytes 10,204,0.496,76.0,92,4,4.35,6.33 (NA-NA),88,95.65,5.69 (5.21-6.17),2.03,3.80
connective tissue cells 21,250,0.472,75.0,117,12,10.26,3.97 (3.31-4.63),105,89.74,5.60 (5.17-6.03),4.05,3.70
astrocytes 15,458,0.14,71.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,199,0.179,61.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,398,0.595,100.0,138,26,18.84,3.26 (2.55-3.97),112,81.16,5.27 (4.89-5.65),2.44,2.80
astrocytes microglia 23,111,0.161,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220,0.114,18.0,63,20,31.75,3.68 (3.15-4.21),43,68.25,6.16 (5.51-6.82),4.10,2.92
oligodendrocytes 0,613,0.15,56.0,127,33,25.98,3.07 (2.64-3.51),94,74.02,3.04 (2.43-3.65),3.48,7.26
microglia 1,127,0.093,8.0,24,1,4.17,5.28 (NA-NA),23,95.83,5.16 (4.41-5.91),3.62,2.42
oligodendrocytes 3,187,0.116,59.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,237,0.19,34.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
