tipo_celular,module_size,ABHD2_MM,ABHD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.145,30.0,102,7,6.86,1.30 (0.62-1.98),95,93.14,3.67 (3.31-4.03),4.13,2.95
T cells 18,393,0.212,77.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,423,0.175,66.0,80,8,10.0,4.44 (3.45-5.43),72,90.0,3.26 (2.75-3.78),2.59,5.29
oligodendrocyte progenitor cells 7,628,0.129,23.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,823,0.124,18.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380,0.197,69.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,204,0.212,61.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,266,0.256,88.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,303,0.186,51.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,676,0.037,13.0,110,7,6.36,2.68 (1.41-3.95),103,93.64,5.22 (4.78-5.66),3.27,3.54
GABA like neurons 14,3052,0.076,7.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.155,83.0,83,4,4.82,3.11 (1.38-4.85),79,95.18,3.26 (2.79-3.73),2.40,4.58
oligodendrocyte progenitor cells 12,411,0.263,67.0,103,2,1.94,3.13 (3.13-3.13),101,98.06,5.61 (5.22-6.00),2.83,3.09
oligodendrocytes 10,806,0.194,62.0,261,3,1.15,3.32 (1.33-5.30),258,98.85,4.38 (4.14-4.62),7.59,6.05
connective tissue cells 21,111,0.307,64.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768,0.084,48.0,105,7,6.67,1.39 (0.54-2.23),98,93.33,3.35 (3.02-3.69),7.29,3.74
oligodendrocytes 16,313,0.191,37.0,291,2,0.69,1.94 (-0.79-4.68),289,99.31,4.35 (4.12-4.57),2.23,3.83
da neurons 6,307,0.191,89.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,166,0.392,84.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,255,0.285,94.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41),1.36,2.42
oligodendrocytes 0,187,0.24,78.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,480,0.214,61.0,163,4,2.45,2.33 (2.07-2.59),159,97.55,3.75 (3.48-4.02),5.13,5.17
oligodendrocytes 3,187,0.114,56.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,804,0.085,2.0,84,3,3.57,1.18 (-0.18-2.54),81,96.43,2.76 (2.42-3.10),3.64,3.39
