tipo_celular,module_size,NSD3_MM,NSD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.151,13.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,624,0.23,92.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.157,82.0,166,36,21.69,2.12 (1.82-2.42),130,78.31,3.84 (3.57-4.12),6.39,4.04
oligodendrocyte progenitor cells 7,448,0.14,49.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459,0.173,57.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,1247,0.143,57.0,51,2,3.92,4.07 (NA-NA),49,96.08,3.61 (3.02-4.21),1.59,3.30
da like neurons 11,197,0.25,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200,0.138,40.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,1653,0.125,48.0,297,10,3.37,2.88 (1.68-4.07),287,96.63,3.68 (3.48-3.89),4.14,5.57
oligodendrocytes 20,233,0.078,8.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300,0.107,10.0,306,13,4.25,1.68 (0.92-2.44),293,95.75,5.23 (4.98-5.48),4.18,6.82
astrocytes 8,727,0.086,35.0,29,1,3.45,4.07 (NA-NA),28,96.55,2.30 (1.80-2.79),2.14,3.60
oligodendrocyte progenitor cells 12,153,0.449,68.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76),NA,2.15
oligodendrocytes 10,2107,0.248,82.0,358,67,18.72,1.94 (1.70-2.18),291,81.28,4.39 (4.21-4.57),23.11,6.33
connective tissue cells 21,110,0.254,44.0,13,2,15.38,2.08 (-0.16-4.31),11,84.62,3.30 (2.41-4.19),1.83,1.68
astrocytes 15,1768,0.156,93.0,105,16,15.24,1.63 (1.22-2.05),89,84.76,3.52 (3.17-3.88),7.74,3.30
oligodendrocytes 16,199,0.153,37.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,448,0.121,69.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,253,0.239,41.0,47,7,14.89,2.43 (1.71-3.15),40,85.11,2.93 (2.56-3.30),2.36,3.21
astrocytes 4,752,0.144,36.0,96,10,10.42,2.36 (1.97-2.75),86,89.58,3.43 (3.07-3.79),2.43,4.54
oligodendrocytes 0,1186,0.158,71.0,300,12,4.0,2.81 (2.41-3.22),288,96.0,3.82 (3.61-4.03),3.27,4.19
microglia 1,1615,0.116,60.0,161,49,30.43,2.01 (1.74-2.28),112,69.57,4.02 (3.72-4.32),10.07,3.40
oligodendrocytes 3,639,0.115,65.0,15,6,40.0,1.58 (0.48-2.67),9,60.0,4.80 (3.06-6.54),2.64,1.94
oligodendrocytes 2,804,0.133,28.0,84,5,5.95,1.89 (0.75-3.03),79,94.05,2.75 (2.40-3.10),4.93,3.30
