tipo_celular,module_size,VPS36_MM,VPS36_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.193,79.0,71,9,12.68,3.30 (1.95-4.64),62,87.32,2.50 (2.08-2.92),1.79,3.84
T cells 18,477,0.075,3.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53),1.80,7.25
astrocytes 5,1656,0.113,45.0,136,8,5.88,3.45 (2.66-4.24),128,94.12,3.20 (2.91-3.48),3.06,5.11
oligodendrocyte progenitor cells 7,4285,0.177,97.0,353,57,16.15,2.87 (2.45-3.30),296,83.85,4.15 (3.95-4.34),17.65,6.22
GABA neurons expressing GLU receptors 22,703,0.127,19.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,489,0.084,14.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,408,0.048,1.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79),2.40,2.25
GABA neurons expressing GABA receptors 13,77,0.231,85.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,658,0.121,18.0,120,2,1.67,2.43 (1.58-3.27),118,98.33,4.65 (4.33-4.97),2.10,3.68
oligodendrocytes 20,271,0.226,70.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2402,0.164,29.0,455,61,13.41,3.19 (2.78-3.61),394,86.59,4.58 (4.39-4.78),18.27,7.37
astrocytes 8,218,0.088,48.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,1049,0.095,52.0,235,12,5.11,3.36 (2.71-4.01),223,94.89,3.84 (3.60-4.09),9.63,7.51
oligodendrocytes 10,2107,0.131,43.0,358,50,13.97,2.95 (2.47-3.42),308,86.03,4.07 (3.87-4.27),16.85,8.27
connective tissue cells 21,100,0.246,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401,0.098,62.0,96,5,5.21,2.93 (2.20-3.66),91,94.79,3.66 (3.18-4.13),3.39,3.82
oligodendrocytes 16,88,0.243,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228,0.1,53.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA),1.75,2.23
astrocytes microglia 23,122,0.266,24.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,1807,0.166,87.0,104,22,21.15,2.43 (1.79-3.07),82,78.85,2.98 (2.67-3.29),8.05,4.69
oligodendrocytes 0,2078,0.125,72.0,238,19,7.98,3.93 (3.07-4.80),219,92.02,3.61 (3.38-3.84),6.96,4.85
microglia 1,1615,0.107,46.0,161,27,16.77,2.45 (1.68-3.21),134,83.23,3.49 (3.22-3.75),9.33,4.65
oligodendrocytes 3,854,0.07,26.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630,0.122,16.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51),3.56,3.59
