tipo_celular,module_size,SNRK_MM,SNRK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.169,19.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,518,0.17,61.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,932,0.108,48.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285,0.126,35.0,353,32,9.07,2.24 (1.74-2.74),321,90.93,4.10 (3.92-4.29),21.64,6.71
GABA neurons expressing GLU receptors 22,599,0.22,56.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,1316,0.065,6.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,289,0.134,28.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,357,0.113,22.0,237,7,2.95,2.52 (2.06-2.99),230,97.05,4.48 (4.25-4.72),3.11,4.22
endothelial cells 9,586,0.388,78.0,62,2,3.23,3.13 (3.13-3.13),60,96.77,4.08 (3.62-4.54),1.80,4.29
oligodendrocytes 20,275,0.028,3.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052,0.163,70.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,354,0.115,47.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.065,33.0,276,30,10.87,2.64 (2.19-3.09),246,89.13,3.69 (3.45-3.92),8.01,4.76
oligodendrocytes 10,735,0.067,27.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,91,0.258,29.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,1768,0.136,87.0,105,12,11.43,1.61 (1.03-2.19),93,88.57,3.44 (3.09-3.79),6.12,3.70
oligodendrocytes 16,90,0.195,39.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,518,0.15,81.0,122,15,12.3,2.35 (1.71-2.99),107,87.7,4.30 (3.88-4.72),2.19,3.66
astrocytes microglia 23,161,0.266,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.155,55.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36),1.34,6.10
oligodendrocytes 0,2078,0.098,19.0,238,9,3.78,2.47 (1.79-3.15),229,96.22,3.69 (3.46-3.92),6.69,4.96
microglia 1,958,0.143,86.0,290,6,2.07,1.94 (0.92-2.95),284,97.93,3.86 (3.63-4.09),6.42,4.97
oligodendrocytes 3,1003,0.058,11.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630,0.128,24.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
