tipo_celular,module_size,OPA1_MM,OPA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.144,11.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,282,0.161,50.0,241,36,14.94,3.86 (3.57-4.14),205,85.06,4.10 (3.80-4.40),4.83,4.25
astrocytes 5,1141,0.133,52.0,166,21,12.65,2.02 (1.57-2.47),145,87.35,3.64 (3.38-3.90),7.76,4.08
oligodendrocyte progenitor cells 7,4285,0.164,89.0,353,47,13.31,2.30 (1.91-2.68),306,86.69,4.21 (4.03-4.40),22.43,5.86
GABA neurons expressing GLU receptors 22,848,0.132,15.0,262,35,13.36,3.32 (2.73-3.91),227,86.64,4.30 (4.03-4.57),3.49,4.20
GLU like neurons 17,1316,0.239,98.0,101,6,5.94,2.89 (2.07-3.70),95,94.06,3.06 (2.69-3.43),2.18,3.11
da like neurons 11,289,0.218,68.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,266,0.162,53.0,118,12,10.17,4.66 (3.99-5.32),106,89.83,4.74 (4.36-5.13),3.52,4.05
endothelial cells 9,1653,0.122,46.0,297,2,0.67,3.16 (1.92-4.40),295,99.33,3.68 (3.47-3.88),4.53,5.52
oligodendrocytes 20,358,0.154,50.0,31,2,6.45,3.02 (2.59-3.46),29,93.55,2.31 (1.85-2.77),2.19,3.95
GABA like neurons 14,3052,0.09,12.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67),4.32,8.65
astrocytes 8,354,0.162,72.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.115,86.0,276,39,14.13,2.66 (2.22-3.09),237,85.87,3.72 (3.49-3.96),10.89,4.16
oligodendrocytes 10,735,0.131,69.0,277,11,3.97,4.08 (3.67-4.50),266,96.03,3.88 (3.63-4.14),3.80,9.16
connective tissue cells 21,100,0.234,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377,0.165,59.0,14,6,42.86,2.31 (0.70-3.92),8,57.14,1.88 (-0.35-4.11),2.80,2.19
oligodendrocytes 16,69,0.199,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300,0.191,60.0,159,5,3.14,4.20 (2.32-6.09),154,96.86,4.37 (4.05-4.68),1.79,3.79
astrocytes microglia 23,100,0.259,30.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21),2.40,1.64
astrocytes 4,752,0.154,50.0,96,7,7.29,2.60 (1.87-3.34),89,92.71,3.35 (3.00-3.70),2.52,4.46
oligodendrocytes 0,1186,0.146,52.0,300,15,5.0,3.53 (3.13-3.94),285,95.0,3.81 (3.59-4.03),4.74,4.13
microglia 1,958,0.121,65.0,290,25,8.62,2.67 (2.20-3.13),265,91.38,3.95 (3.71-4.20),4.00,5.09
oligodendrocytes 3,1003,0.089,43.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.126,19.0,84,10,11.9,2.29 (1.35-3.22),74,88.1,2.76 (2.40-3.12),2.76,3.48
