tipo_celular,module_size,ARIH2_MM,ARIH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.151,49.0,71,7,9.86,2.50 (1.58-3.41),64,90.14,2.64 (2.19-3.09),3.81,3.55
T cells 18,727,0.108,23.0,49,11,22.45,4.11 (3.34-4.89),38,77.55,2.12 (1.75-2.49),4.69,6.69
astrocytes 5,1141,0.096,10.0,166,47,28.31,3.00 (2.54-3.45),119,71.69,3.56 (3.26-3.86),6.93,3.61
oligodendrocyte progenitor cells 7,4285,0.142,61.0,353,66,18.7,2.76 (2.40-3.12),287,81.3,4.20 (4.01-4.40),21.25,5.03
GABA neurons expressing GLU receptors 22,848,0.209,49.0,262,26,9.92,3.82 (3.16-4.48),236,90.08,4.21 (3.94-4.48),5.36,3.96
GLU like neurons 17,1247,0.106,29.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25),3.35,3.23
da like neurons 11,289,0.108,19.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,288,0.091,6.0,93,10,10.75,3.03 (1.51-4.54),83,89.25,5.45 (4.97-5.94),2.90,4.08
endothelial cells 9,303,0.084,18.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,322,0.161,66.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052,0.091,13.0,125,8,6.4,3.54 (2.91-4.17),117,93.6,3.34 (3.01-3.68),4.44,8.90
astrocytes 8,354,0.095,33.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708,0.071,26.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.16,55.0,358,72,20.11,2.66 (2.31-3.00),286,79.89,4.24 (4.04-4.45),21.99,6.32
connective tissue cells 21,111,0.284,50.0,26,13,50.0,3.13 (2.60-3.66),13,50.0,2.12 (1.12-3.12),2.30,2.04
astrocytes 15,1401,0.1,63.0,96,8,8.33,3.58 (2.18-4.97),88,91.67,3.62 (3.14-4.09),2.32,3.93
oligodendrocytes 16,64,0.14,15.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,398,0.077,6.0,138,17,12.32,2.41 (1.71-3.12),121,87.68,5.23 (4.88-5.59),2.34,2.79
astrocytes microglia 23,54,0.259,21.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,721,0.151,48.0,61,7,11.48,4.13 (3.90-4.36),54,88.52,2.80 (2.35-3.25),3.18,6.39
oligodendrocytes 0,1186,0.127,24.0,300,4,1.33,2.06 (NA-NA),296,98.67,3.80 (3.59-4.01),2.28,4.18
microglia 1,958,0.118,61.0,290,29,10.0,3.64 (2.89-4.40),261,90.0,3.83 (3.59-4.07),5.01,5.00
oligodendrocytes 3,639,0.086,42.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86),2.49,1.98
oligodendrocytes 2,804,0.12,13.0,84,32,38.1,3.21 (2.67-3.76),52,61.9,2.39 (1.99-2.80),3.77,3.17
