tipo_celular,module_size,EIF2AK4_MM,EIF2AK4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.102,2.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,610,0.113,20.0,98,34,34.69,2.11 (1.68-2.55),64,65.31,3.75 (3.41-4.09),4.75,3.66
astrocytes 5,932,0.096,31.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,65,18.41,2.41 (2.06-2.75),288,81.59,4.34 (4.16-4.52),16.49,6.16
GABA neurons expressing GLU receptors 22,823,0.12,16.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69),2.23,3.94
GLU like neurons 17,1247,0.094,21.0,51,3,5.88,4.93 (3.80-6.06),48,94.12,3.53 (2.92-4.13),3.88,3.20
da like neurons 11,204,0.152,35.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,101,0.161,51.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,303,0.034,1.0,54,1,1.85,NA,53,98.15,4.84 (4.22-5.46),1.39,5.10
oligodendrocytes 20,322,0.103,40.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052,0.118,32.0,125,3,2.4,3.00 (NA-NA),122,97.6,3.36 (3.03-3.68),2.77,8.76
astrocytes 8,1266,0.077,46.0,66,31,46.97,2.86 (2.27-3.46),35,53.03,3.66 (3.10-4.21),3.17,2.76
oligodendrocyte progenitor cells 12,3303,0.083,56.0,276,52,18.84,2.36 (2.06-2.66),224,81.16,3.91 (3.67-4.15),6.88,4.70
oligodendrocytes 10,2107,0.12,39.0,358,69,19.27,2.26 (1.96-2.55),289,80.73,4.43 (4.24-4.61),20.03,6.95
connective tissue cells 21,106,0.278,41.0,9,2,22.22,2.99 (-2.36-8.33),7,77.78,4.28 (0.96-7.59),1.88,2.39
astrocytes 15,1768,0.128,83.0,105,24,22.86,2.22 (1.54-2.89),81,77.14,3.54 (3.18-3.90),4.78,3.74
oligodendrocytes 16,121,0.162,13.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,729,0.088,16.0,182,10,5.49,2.46 (1.63-3.28),172,94.51,3.72 (3.46-3.98),21.04,7.79
astrocytes microglia 23,41,0.352,68.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57),NA,8.62
astrocytes 4,721,0.164,75.0,61,3,4.92,2.51 (0.99-4.04),58,95.08,2.99 (2.56-3.42),2.49,6.20
oligodendrocytes 0,2078,0.127,77.0,238,19,7.98,2.88 (2.32-3.44),219,92.02,3.71 (3.48-3.95),6.35,4.91
microglia 1,958,0.094,23.0,290,27,9.31,3.00 (2.40-3.60),263,90.69,3.92 (3.67-4.16),5.77,4.92
oligodendrocytes 3,681,0.092,48.0,87,39,44.83,2.14 (1.81-2.47),48,55.17,3.01 (2.62-3.39),4.56,3.98
oligodendrocytes 2,1630,0.118,11.0,154,6,3.9,4.83 (2.22-7.44),148,96.1,3.20 (2.94-3.46),1.93,3.66
