tipo_celular,module_size,RNF10_MM,RNF10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.129,21.0,102,40,39.22,2.47 (2.17-2.78),62,60.78,4.22 (3.72-4.72),3.85,2.50
T cells 18,477,0.069,2.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.101,14.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,73,20.68,2.40 (2.11-2.69),280,79.32,4.39 (4.20-4.57),16.47,5.87
GABA neurons expressing GLU receptors 22,823,0.146,29.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,229,0.25,80.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,265,0.207,58.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,238,0.079,4.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,385,0.063,9.0,275,56,20.36,2.19 (1.90-2.47),219,79.64,4.69 (4.42-4.95),9.05,5.07
oligodendrocytes 20,348,0.143,53.0,33,5,15.15,2.95 (2.75-3.16),28,84.85,2.69 (2.11-3.27),3.60,3.34
GABA like neurons 14,2090,0.088,9.0,74,15,20.27,2.25 (2.03-2.48),59,79.73,3.15 (2.68-3.62),3.35,12.32
astrocytes 8,260,0.115,45.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303,0.094,68.0,276,62,22.46,2.49 (2.20-2.78),214,77.54,3.93 (3.68-4.19),7.34,4.46
oligodendrocytes 10,483,0.079,30.0,129,2,1.55,3.62 (2.35-4.88),127,98.45,3.42 (3.03-3.82),78.43,18.26
connective tissue cells 21,111,0.29,55.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768,0.099,62.0,105,29,27.62,2.42 (1.97-2.86),76,72.38,3.55 (3.14-3.97),5.43,3.42
oligodendrocytes 16,85,0.229,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.103,29.0,124,11,8.87,3.56 (2.44-4.68),113,91.13,4.24 (3.83-4.66),3.03,3.03
astrocytes microglia 23,131,0.29,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.145,39.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.119,61.0,238,27,11.34,2.94 (2.51-3.37),211,88.66,3.73 (3.49-3.97),5.95,4.90
microglia 1,958,0.109,47.0,290,14,4.83,2.29 (1.70-2.87),276,95.17,3.91 (3.68-4.15),6.22,4.94
oligodendrocytes 3,94,0.057,21.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921,0.154,78.0,200,3,1.5,2.26 (0.99-3.53),197,98.5,3.65 (3.38-3.92),5.42,3.43
