tipo_celular,module_size,ANKIB1_MM,ANKIB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.222,63.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,727,0.181,78.0,49,11,22.45,4.11 (3.34-4.89),38,77.55,2.12 (1.75-2.49),4.69,6.69
astrocytes 5,1141,0.142,65.0,166,40,24.1,3.17 (2.66-3.67),126,75.9,3.46 (3.17-3.76),5.28,4.32
oligodendrocyte progenitor cells 7,448,0.127,40.0,108,1,0.93,7.59 (NA-NA),107,99.07,3.20 (2.77-3.63),2.23,17.26
GABA neurons expressing GLU receptors 22,703,0.111,12.0,23,3,13.04,3.38 (2.28-4.48),20,86.96,1.89 (1.12-2.66),3.34,4.01
GLU like neurons 17,795,0.151,60.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,109,0.425,98.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,288,0.253,76.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80),1.82,4.02
endothelial cells 9,450,0.204,49.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.335,59.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,1300,0.164,29.0,306,9,2.94,1.74 (0.93-2.55),297,97.06,5.23 (4.97-5.48),5.15,6.75
astrocytes 8,771,0.209,68.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,153,0.405,49.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,236,0.378,24.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,90,0.2,5.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29),NA,1.41
astrocytes 15,458,0.133,69.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287,0.338,58.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77),2.42,3.52
da neurons 6,398,0.191,65.0,138,11,7.97,2.12 (1.14-3.09),127,92.03,5.11 (4.75-5.46),2.41,2.76
astrocytes microglia 23,190,0.238,31.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24),1.81,1.81
astrocytes 4,201,0.134,20.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,261,0.143,25.0,42,5,11.9,1.31 (0.80-1.82),37,88.1,4.57 (3.92-5.22),2.22,2.28
microglia 1,813,0.115,49.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,99,0.228,48.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237,0.25,65.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
