tipo_celular,module_size,MT-CO3_MM,MT-CO3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.31,91.0,73,3,4.11,4.91 (NA-NA),70,95.89,3.54 (3.19-3.89),2.56,3.25
T cells 18,506,0.191,53.0,225,26,11.56,3.14 (2.62-3.66),199,88.44,3.69 (3.41-3.97),3.73,8.45
astrocytes 5,228,0.287,86.0,266,45,16.92,2.92 (2.43-3.42),221,83.08,4.44 (4.24-4.65),6.12,4.75
oligodendrocyte progenitor cells 7,296,0.279,84.0,251,10,3.98,3.16 (2.34-3.98),241,96.02,4.11 (3.87-4.36),3.80,6.25
GABA neurons expressing GLU receptors 22,192,0.815,98.0,55,24,43.64,4.18 (3.57-4.79),31,56.36,3.89 (3.31-4.48),4.30,2.57
GLU like neurons 17,637,0.225,70.0,91,12,13.19,1.05 (0.53-1.58),79,86.81,5.22 (4.79-5.65),3.74,2.96
da like neurons 11,1220,0.363,90.0,410,43,10.49,3.35 (2.89-3.81),367,89.51,4.38 (4.19-4.58),16.56,6.46
GABA neurons expressing GABA receptors 13,238,0.526,100.0,36,1,2.78,7.70 (NA-NA),35,97.22,3.75 (3.27-4.23),1.48,17.67
endothelial cells 9,338,0.347,92.0,191,9,4.71,3.64 (2.76-4.51),182,95.29,3.90 (3.67-4.13),2.28,9.50
oligodendrocytes 20,403,0.125,51.0,18,8,44.44,0.87 (0.38-1.35),10,55.56,2.69 (1.80-3.57),5.13,2.72
GABA like neurons 14,2402,0.013,1.0,455,43,9.45,2.86 (2.34-3.38),412,90.55,4.54 (4.35-4.73),23.44,7.31
astrocytes 8,47,0.766,98.0,76,14,18.42,4.17 (2.96-5.37),62,81.58,4.00 (3.71-4.28),4.90,4.54
oligodendrocyte progenitor cells 12,708,0.132,58.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806,0.439,93.0,261,30,11.49,3.52 (3.06-3.98),231,88.51,4.51 (4.24-4.77),5.09,6.19
connective tissue cells 21,101,0.229,18.0,116,34,29.31,3.64 (3.09-4.19),82,70.69,5.24 (4.72-5.76),3.62,3.05
astrocytes 15,418,0.307,72.0,54,25,46.3,3.74 (3.18-4.31),29,53.7,3.63 (2.95-4.30),3.12,2.92
oligodendrocytes 16,149,0.342,86.0,70,4,5.71,6.87 (5.85-7.89),66,94.29,5.57 (5.08-6.07),2.20,3.38
da neurons 6,553,0.371,99.0,124,3,2.42,1.26 (-0.42-2.94),121,97.58,4.25 (3.86-4.64),2.42,3.05
astrocytes microglia 23,46,0.813,100.0,73,35,47.95,3.79 (3.26-4.33),38,52.05,4.33 (4.00-4.65),6.94,3.74
astrocytes 4,157,0.567,100.0,178,40,22.47,3.22 (2.65-3.78),138,77.53,4.52 (4.25-4.79),6.46,3.93
oligodendrocytes 0,116,0.632,100.0,169,13,7.69,4.07 (2.90-5.25),156,92.31,4.30 (3.99-4.60),3.84,6.71
microglia 1,214,0.305,80.0,227,36,15.86,3.72 (3.24-4.21),191,84.14,4.18 (3.91-4.45),9.03,5.57
oligodendrocytes 3,32,0.813,97.0,81,37,45.68,3.77 (3.25-4.29),44,54.32,4.28 (3.96-4.60),9.81,6.22
oligodendrocytes 2,99,0.621,99.0,116,10,8.62,4.22 (2.96-5.49),106,91.38,3.92 (3.62-4.22),3.50,7.59
