tipo_celular,module_size,UBE4A_MM,UBE4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.104,13.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01),1.84,4.26
T cells 18,727,0.166,66.0,49,11,22.45,4.11 (3.34-4.89),38,77.55,2.12 (1.75-2.49),4.69,6.69
astrocytes 5,1656,0.093,18.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,4285,0.156,80.0,353,43,12.18,2.44 (1.95-2.94),310,87.82,4.12 (3.93-4.30),23.35,5.94
GABA neurons expressing GLU receptors 22,714,0.168,42.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,637,0.077,11.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51),3.48,3.02
da like neurons 11,1220,0.05,1.0,410,16,3.9,3.10 (2.50-3.71),394,96.1,4.31 (4.12-4.51),8.93,7.46
GABA neurons expressing GABA receptors 13,357,0.167,53.0,237,1,0.42,3.34 (NA-NA),236,99.58,4.41 (4.18-4.65),6.42,4.17
endothelial cells 9,1653,0.093,22.0,297,13,4.38,4.11 (3.34-4.89),284,95.62,3.66 (3.45-3.87),9.36,5.34
oligodendrocytes 20,330,0.065,15.0,36,5,13.89,2.48 (1.48-3.48),31,86.11,1.82 (1.46-2.19),4.59,2.89
GABA like neurons 14,3052,0.174,79.0,125,8,6.4,3.54 (2.91-4.17),117,93.6,3.34 (3.01-3.68),4.44,8.90
astrocytes 8,520,0.06,19.0,288,13,4.51,2.93 (2.24-3.63),275,95.49,4.25 (4.05-4.45),3.29,4.75
oligodendrocyte progenitor cells 12,3303,0.103,77.0,276,34,12.32,2.89 (2.38-3.39),242,87.68,3.64 (3.41-3.88),11.41,4.22
oligodendrocytes 10,806,0.119,35.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,106,0.298,53.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1768,0.106,68.0,105,24,22.86,2.53 (2.01-3.04),81,77.14,3.44 (3.04-3.84),6.43,3.25
oligodendrocytes 16,313,0.133,12.0,291,3,1.03,2.77 (0.51-5.04),288,98.97,4.35 (4.12-4.57),1.94,3.83
da neurons 6,300,0.131,40.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,135,0.248,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.16,68.0,61,4,6.56,4.01 (3.74-4.29),57,93.44,2.89 (2.45-3.32),3.57,6.19
oligodendrocytes 0,613,0.161,68.0,127,3,2.36,1.78 (0.87-2.70),124,97.64,3.10 (2.68-3.53),4.76,6.31
microglia 1,958,0.122,66.0,290,4,1.38,3.25 (2.40-4.09),286,98.62,3.82 (3.59-4.06),6.51,4.98
oligodendrocytes 3,681,0.076,32.0,87,16,18.39,1.82 (1.21-2.44),71,81.61,2.77 (2.49-3.06),5.47,3.97
oligodendrocytes 2,921,0.159,83.0,200,3,1.5,2.88 (1.96-3.80),197,98.5,3.64 (3.37-3.91),7.77,3.40
