tipo_celular,module_size,WAC_MM,WAC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.109,13.0,98,3,3.06,1.14 (0.56-1.72),95,96.94,3.31 (2.83-3.79),7.46,13.64
T cells 18,388,0.156,53.0,84,10,11.9,2.64 (2.25-3.03),74,88.1,3.02 (2.65-3.38),2.28,4.60
astrocytes 5,1141,0.151,77.0,166,53,31.93,2.76 (2.41-3.12),113,68.07,3.76 (3.44-4.08),5.67,4.02
oligodendrocyte progenitor cells 7,448,0.175,74.0,108,1,0.93,7.59 (NA-NA),107,99.07,3.20 (2.77-3.63),2.23,17.26
GABA neurons expressing GLU receptors 22,848,0.208,49.0,262,18,6.87,3.26 (2.39-4.13),244,93.13,4.25 (3.99-4.50),5.76,3.98
GLU like neurons 17,685,0.125,45.0,135,39,28.89,2.53 (2.15-2.90),96,71.11,3.52 (3.12-3.92),3.86,3.71
da like neurons 11,82,0.311,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,90,0.148,41.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07),NA,1.84
endothelial cells 9,1653,0.224,95.0,297,22,7.41,3.98 (3.55-4.41),275,92.59,3.65 (3.43-3.87),4.73,5.58
oligodendrocytes 20,358,0.169,57.0,31,4,12.9,2.94 (2.76-3.12),27,87.1,2.29 (1.82-2.77),1.95,4.11
GABA like neurons 14,2402,0.116,13.0,455,45,9.89,3.66 (2.96-4.37),410,90.11,4.45 (4.26-4.63),13.75,8.30
astrocytes 8,771,0.089,36.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,138,0.469,54.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107,0.312,90.0,358,96,26.82,2.82 (2.49-3.14),262,73.18,4.38 (4.18-4.58),18.88,6.02
connective tissue cells 21,112,0.209,37.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,1401,0.15,89.0,96,4,4.17,2.34 (1.47-3.22),92,95.83,3.68 (3.21-4.15),1.62,3.89
oligodendrocytes 16,107,0.127,4.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,553,0.164,71.0,124,3,2.42,2.28 (-1.40-5.95),121,97.58,4.23 (3.83-4.62),2.70,3.04
astrocytes microglia 23,125,0.133,0.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,752,0.158,58.0,96,13,13.54,2.80 (2.47-3.12),83,86.46,3.39 (3.00-3.78),2.40,4.62
oligodendrocytes 0,1186,0.176,91.0,300,26,8.67,4.12 (3.54-4.69),274,91.33,3.76 (3.54-3.98),3.47,4.22
microglia 1,480,0.068,1.0,163,14,8.59,3.54 (3.04-4.03),149,91.41,3.73 (3.44-4.02),4.76,5.21
oligodendrocytes 3,681,0.154,87.0,87,49,56.32,2.26 (1.99-2.52),38,43.68,3.05 (2.55-3.55),5.18,3.03
oligodendrocytes 2,921,0.136,47.0,200,8,4.0,3.81 (2.08-5.55),192,96.0,3.61 (3.34-3.88),4.04,3.44
