tipo_celular,module_size,TOP1_MM,TOP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.173,27.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,727,0.26,99.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,423,0.162,58.0,80,4,5.0,2.98 (1.71-4.26),76,95.0,3.43 (2.93-3.93),2.28,5.16
oligodendrocyte progenitor cells 7,4285,0.18,98.0,353,67,18.98,2.31 (2.00-2.62),286,81.02,4.37 (4.19-4.55),18.68,5.58
GABA neurons expressing GLU receptors 22,400,0.184,42.0,24,8,33.33,0.73 (0.35-1.11),16,66.67,2.87 (2.46-3.29),5.47,2.64
GLU like neurons 17,1316,0.22,96.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42),2.87,3.06
da like neurons 11,289,0.096,12.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,75,0.124,21.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,1653,0.148,66.0,297,13,4.38,3.60 (2.99-4.21),284,95.62,3.68 (3.47-3.89),4.95,5.54
oligodendrocytes 20,358,0.179,61.0,31,1,3.23,NA,30,96.77,2.36 (1.93-2.79),1.30,3.92
GABA like neurons 14,2402,0.119,14.0,455,31,6.81,1.79 (1.33-2.24),424,93.19,4.58 (4.40-4.76),19.40,8.06
astrocytes 8,577,0.126,72.0,83,7,8.43,3.16 (1.30-5.02),76,91.57,3.26 (2.80-3.72),2.69,4.64
oligodendrocyte progenitor cells 12,708,0.15,64.0,32,8,25.0,1.08 (0.39-1.78),24,75.0,4.11 (3.27-4.95),3.75,2.21
oligodendrocytes 10,2107,0.229,77.0,358,69,19.27,2.21 (1.88-2.54),289,80.73,4.37 (4.18-4.55),21.89,6.51
connective tissue cells 21,100,0.206,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.119,78.0,105,25,23.81,1.72 (1.39-2.06),80,76.19,3.70 (3.33-4.07),6.82,3.09
oligodendrocytes 16,123,0.205,45.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,518,0.155,83.0,122,21,17.21,2.17 (1.67-2.68),101,82.79,4.52 (4.10-4.93),3.00,3.58
astrocytes microglia 23,327,0.278,29.0,120,28,23.33,2.45 (1.96-2.95),92,76.67,4.05 (3.73-4.36),2.97,2.74
astrocytes 4,514,0.239,73.0,95,16,16.84,2.68 (2.05-3.30),79,83.16,3.55 (3.05-4.04),2.40,5.09
oligodendrocytes 0,1186,0.143,46.0,300,14,4.67,4.05 (3.23-4.87),286,95.33,3.78 (3.57-3.99),5.65,4.08
microglia 1,958,0.189,97.0,290,19,6.55,2.67 (1.98-3.36),271,93.45,3.90 (3.66-4.14),5.51,4.96
oligodendrocytes 3,1003,0.1,55.0,111,1,0.9,7.59 (NA-NA),110,99.1,3.26 (2.92-3.60),1.76,4.25
oligodendrocytes 2,804,0.174,72.0,84,19,22.62,2.80 (2.15-3.44),65,77.38,2.65 (2.25-3.04),3.47,3.37
