tipo_celular,module_size,GLUD1_MM,GLUD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.268,81.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,610,0.131,34.0,98,18,18.37,1.70 (1.11-2.29),80,81.63,3.48 (3.17-3.80),7.68,3.22
astrocytes 5,118,0.188,22.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,200,0.177,49.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,400,0.19,46.0,24,13,54.17,1.82 (1.06-2.58),11,45.83,2.55 (1.94-3.17),4.09,2.98
GLU like neurons 17,685,0.234,83.0,135,20,14.81,2.66 (1.90-3.42),115,85.19,3.30 (2.97-3.63),3.42,3.81
da like neurons 11,172,0.217,46.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,75,0.17,53.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,586,0.089,15.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,298,0.152,54.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052,0.119,33.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279,0.214,25.0,78,10,12.82,3.16 (2.22-4.09),68,87.18,4.52 (4.08-4.96),3.35,2.61
oligodendrocyte progenitor cells 12,708,0.096,41.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,735,0.048,12.0,277,7,2.53,5.55 (4.19-6.91),270,97.47,3.83 (3.59-4.08),2.98,9.10
connective tissue cells 21,88,0.253,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268,0.337,95.0,10,1,10.0,7.59 (NA-NA),9,90.0,3.13 (1.64-4.63),1.35,1.62
oligodendrocytes 16,155,0.158,17.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,518,0.092,30.0,122,29,23.77,2.70 (2.26-3.15),93,76.23,4.57 (4.10-5.04),4.21,3.26
astrocytes microglia 23,141,0.27,60.0,30,3,10.0,3.74 (2.01-5.46),27,90.0,5.97 (5.04-6.90),2.55,4.21
astrocytes 4,220,0.172,55.0,63,13,20.63,3.99 (3.08-4.90),50,79.37,5.55 (4.91-6.19),3.65,3.20
oligodendrocytes 0,613,0.142,50.0,127,6,4.72,3.55 (3.13-3.98),121,95.28,3.01 (2.56-3.46),3.49,6.42
microglia 1,813,0.114,48.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52),4.73,7.98
oligodendrocytes 3,94,0.072,35.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921,0.171,92.0,200,6,3.0,2.92 (1.95-3.88),194,97.0,3.65 (3.38-3.92),3.82,3.45
