tipo_celular,module_size,HNRNPR_MM,HNRNPR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.167,56.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,624,0.232,93.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656,0.17,100.0,136,9,6.62,1.93 (1.48-2.38),127,93.38,3.31 (3.03-3.59),6.50,4.88
oligodendrocyte progenitor cells 7,4285,0.173,95.0,353,42,11.9,1.87 (1.53-2.20),311,88.1,4.24 (4.06-4.41),27.62,5.42
GABA neurons expressing GLU receptors 22,400,0.281,87.0,24,6,25.0,0.48 (0.34-0.63),18,75.0,2.71 (2.28-3.14),5.15,3.06
GLU like neurons 17,380,0.087,5.0,39,1,2.56,1.71 (NA-NA),38,97.44,3.00 (2.44-3.56),2.61,2.57
da like neurons 11,200,0.096,10.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,73,0.163,52.0,16,4,25.0,3.51 (2.93-4.09),12,75.0,1.75 (0.59-2.92),1.65,11.83
endothelial cells 9,559,0.093,20.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938,0.094,33.0,169,4,2.37,1.13 (0.16-2.10),165,97.63,3.55 (3.34-3.76),7.75,5.31
GABA like neurons 14,2402,0.149,24.0,455,34,7.47,1.93 (1.53-2.33),421,92.53,4.60 (4.43-4.78),17.75,8.11
astrocytes 8,771,0.074,27.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303,0.087,60.0,276,28,10.14,1.84 (1.53-2.14),248,89.86,3.79 (3.57-4.02),14.17,4.09
oligodendrocytes 10,483,0.14,58.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,110,0.291,61.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11),1.94,1.68
astrocytes 15,443,0.155,52.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,113,0.185,57.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,518,0.068,6.0,122,9,7.38,1.35 (0.48-2.23),113,92.62,4.24 (3.85-4.62),3.64,3.47
astrocytes microglia 23,83,0.254,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.164,85.0,104,29,27.88,1.71 (1.41-2.02),75,72.12,3.36 (3.05-3.67),10.67,3.36
oligodendrocytes 0,613,0.144,52.0,127,17,13.39,2.59 (2.12-3.05),110,86.61,3.17 (2.67-3.67),3.94,6.64
microglia 1,813,0.12,55.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,743,0.071,34.0,76,2,2.63,2.44 (NA-NA),74,97.37,3.17 (2.77-3.57),1.65,7.44
oligodendrocytes 2,528,0.144,17.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
