tipo_celular,module_size,NT5DC1_MM,NT5DC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.27,93.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727,0.178,76.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141,0.13,47.0,166,1,0.6,2.53 (NA-NA),165,99.4,3.40 (3.14-3.65),4.66,4.55
oligodendrocyte progenitor cells 7,229,0.199,54.0,45,1,2.22,NA,44,97.78,5.01 (4.39-5.62),1.62,5.44
GABA neurons expressing GLU receptors 22,567,0.253,73.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,637,0.132,39.0,91,1,1.1,NA,90,98.9,4.54 (4.01-5.06),1.73,3.07
da like neurons 11,89,0.378,74.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,266,0.139,36.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,450,0.202,47.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.528,81.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052,0.216,96.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771,0.321,83.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708,0.333,90.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,236,0.589,76.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,183,0.285,56.0,32,1,3.12,NA,31,96.88,5.12 (4.48-5.76),1.97,2.69
astrocytes 15,458,0.154,75.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287,0.463,94.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52),NA,3.47
da neurons 6,398,0.161,54.0,138,0,0.0,NA,138,100.0,4.82 (4.46-5.19),NA,2.73
astrocytes microglia 23,44,0.4,87.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,752,0.177,86.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,261,0.201,62.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75),NA,2.27
microglia 1,127,0.142,35.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,127,0.252,50.0,45,0,0.0,NA,45,100.0,4.32 (3.47-5.16),NA,5.92
oligodendrocytes 2,237,0.114,5.0,26,1,3.85,NA,25,96.15,5.22 (4.28-6.15),2.04,2.57
