tipo_celular,module_size,DNAJC6_MM,DNAJC6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.52,93.0,15,1,6.67,4.26 (NA-NA),14,93.33,5.94 (5.25-6.64),4.48,2.18
T cells 18,349,0.344,83.0,68,9,13.24,2.13 (1.21-3.05),59,86.76,4.84 (4.29-5.39),3.24,3.32
astrocytes 5,165,0.173,44.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.143,26.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63),2.73,5.42
GABA neurons expressing GLU receptors 22,567,0.283,78.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64),1.53,4.12
GLU like neurons 17,637,0.417,93.0,91,21,23.08,2.55 (1.68-3.41),70,76.92,5.38 (4.91-5.86),3.57,2.91
da like neurons 11,200,0.317,84.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,265,0.116,24.0,78,10,12.82,3.67 (2.72-4.61),68,87.18,4.50 (4.04-4.95),4.43,4.24
endothelial cells 9,450,0.534,89.0,74,8,10.81,5.20 (3.29-7.11),66,89.19,5.49 (4.91-6.08),3.70,3.63
oligodendrocytes 20,676,0.166,39.0,110,14,12.73,3.57 (2.19-4.95),96,87.27,5.22 (4.78-5.67),3.82,3.48
GABA like neurons 14,1300,0.071,5.0,306,21,6.86,2.92 (1.97-3.86),285,93.14,5.30 (5.05-5.56),11.61,6.34
astrocytes 8,771,0.436,90.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,138,0.283,8.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,204,0.419,42.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250,0.652,90.0,117,10,8.55,4.20 (2.63-5.77),107,91.45,5.48 (5.07-5.88),3.03,3.80
astrocytes 15,458,0.149,74.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,116,0.103,3.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,307,0.257,97.0,95,3,3.16,5.57 (5.11-6.03),92,96.84,4.81 (4.36-5.27),2.55,3.39
astrocytes microglia 23,166,0.342,71.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,102,0.118,10.0,42,1,2.38,5.19 (NA-NA),41,97.62,5.70 (4.96-6.44),2.94,3.17
oligodendrocytes 0,187,0.1,10.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,127,0.39,83.0,24,2,8.33,6.89 (5.31-8.47),22,91.67,4.96 (4.25-5.68),1.96,2.52
oligodendrocytes 3,187,0.133,69.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,131,0.272,84.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
