tipo_celular,module_size,KIAA0319L_MM,KIAA0319L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.149,45.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,624,0.185,74.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.086,4.0,166,10,6.02,1.54 (0.98-2.11),156,93.98,3.54 (3.28-3.79),10.82,4.15
oligodendrocyte progenitor cells 7,4285,0.128,39.0,353,19,5.38,1.57 (1.04-2.10),334,94.62,4.06 (3.88-4.24),35.65,6.49
GABA neurons expressing GLU receptors 22,703,0.083,5.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,685,0.132,51.0,135,8,5.93,1.85 (1.19-2.50),127,94.07,3.29 (2.97-3.61),3.54,3.76
da like neurons 11,200,0.148,34.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,77,0.159,43.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,1653,0.108,34.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,279,0.128,18.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052,0.128,40.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266,0.054,19.0,66,17,25.76,2.14 (1.31-2.98),49,74.24,3.69 (3.28-4.10),3.72,2.69
oligodendrocyte progenitor cells 12,708,0.068,28.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64),4.50,2.25
oligodendrocytes 10,2107,0.09,23.0,358,18,5.03,1.53 (0.98-2.09),340,94.97,4.03 (3.84-4.22),38.87,7.92
connective tissue cells 21,101,0.161,2.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,338,0.099,13.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,156,0.182,39.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,307,0.082,16.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,190,0.237,31.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752,0.121,11.0,96,3,3.12,2.86 (0.33-5.40),93,96.88,3.31 (2.98-3.64),2.42,4.38
oligodendrocytes 0,1186,0.144,48.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.122,67.0,161,15,9.32,1.34 (0.80-1.88),146,90.68,3.52 (3.26-3.78),17.50,4.19
oligodendrocytes 3,1003,0.079,31.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.143,39.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09),3.00,3.41
