tipo_celular,module_size,MRPS25_MM,MRPS25_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.236,67.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,388,0.124,34.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,932,0.115,60.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.109,17.0,353,25,7.08,1.37 (1.06-1.68),328,92.92,4.14 (3.97-4.32),31.19,6.30
GABA neurons expressing GLU receptors 22,400,0.121,11.0,24,14,58.33,1.31 (0.88-1.75),10,41.67,3.33 (2.89-3.78),4.45,2.36
GLU like neurons 17,1247,0.045,2.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220,0.093,12.0,410,17,4.15,2.54 (2.11-2.98),393,95.85,4.35 (4.16-4.54),18.70,7.03
GABA neurons expressing GABA receptors 13,90,0.116,15.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07),NA,1.84
endothelial cells 9,338,0.063,6.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,676,0.029,8.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,2090,0.132,34.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,354,0.11,45.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.056,21.0,276,15,5.43,1.58 (1.30-1.85),261,94.57,3.69 (3.47-3.91),13.46,4.63
oligodendrocytes 10,735,0.081,38.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14),4.02,8.98
connective tissue cells 21,102,0.332,78.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA,1.33,1.53
astrocytes 15,377,0.111,19.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,107,0.229,56.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,729,0.122,34.0,182,17,9.34,2.96 (2.40-3.52),165,90.66,3.72 (3.45-4.00),22.94,7.04
astrocytes microglia 23,111,0.251,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.139,26.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.103,28.0,238,2,0.84,1.66 (-1.19-4.52),236,99.16,3.66 (3.44-3.88),9.53,4.98
microglia 1,813,0.075,5.0,79,2,2.53,2.25 (1.25-3.25),77,97.47,3.13 (2.71-3.54),5.86,7.95
oligodendrocytes 3,457,0.02,0.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49),6.65,5.69
oligodendrocytes 2,1630,0.127,22.0,154,4,2.6,2.45 (1.87-3.04),150,97.4,3.27 (3.00-3.54),4.23,3.58
