tipo_celular,module_size,STAM_MM,STAM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.15,39.0,140,6,4.29,2.76 (2.08-3.44),134,95.71,4.63 (4.20-5.07),2.74,3.61
T cells 18,518,0.133,34.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35),1.88,4.78
astrocytes 5,1656,0.111,43.0,136,6,4.41,3.45 (2.66-4.24),130,95.59,3.20 (2.91-3.48),3.08,5.08
oligodendrocyte progenitor cells 7,4285,0.141,59.0,353,59,16.71,3.05 (2.63-3.48),294,83.29,4.12 (3.92-4.31),16.94,6.28
GABA neurons expressing GLU receptors 22,567,0.148,30.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68),1.54,4.33
GLU like neurons 17,1316,0.122,49.0,101,8,7.92,4.24 (3.30-5.18),93,92.08,2.94 (2.57-3.30),2.99,3.06
da like neurons 11,82,0.314,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.16,41.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,1653,0.103,29.0,297,2,0.67,4.30 (3.30-5.31),295,99.33,3.67 (3.46-3.87),3.20,5.53
oligodendrocytes 20,403,0.173,68.0,18,11,61.11,1.50 (0.61-2.39),7,38.89,2.47 (1.52-3.42),4.31,2.97
GABA like neurons 14,3052,0.119,33.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67),2.35,8.66
astrocytes 8,771,0.055,16.0,48,2,4.17,3.56 (-1.88-9.00),46,95.83,4.48 (3.72-5.24),1.47,3.22
oligodendrocyte progenitor cells 12,3303,0.086,59.0,276,46,16.67,3.15 (2.75-3.54),230,83.33,3.65 (3.40-3.90),8.22,4.49
oligodendrocytes 10,2107,0.314,90.0,358,57,15.92,2.88 (2.43-3.34),301,84.08,4.12 (3.92-4.32),15.38,8.35
connective tissue cells 21,136,0.19,5.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1401,0.065,31.0,96,9,9.38,3.01 (2.28-3.75),87,90.62,3.69 (3.19-4.19),3.37,3.84
oligodendrocytes 16,123,0.18,26.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,518,0.159,85.0,122,36,29.51,2.71 (2.31-3.11),86,70.49,4.79 (4.31-5.28),4.37,3.11
astrocytes microglia 23,80,0.291,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.129,23.0,104,19,18.27,2.41 (1.74-3.08),85,81.73,2.97 (2.67-3.28),9.00,4.59
oligodendrocytes 0,2078,0.135,89.0,238,18,7.56,3.94 (3.13-4.75),220,92.44,3.61 (3.38-3.84),6.48,4.90
microglia 1,958,0.106,43.0,290,26,8.97,2.85 (2.40-3.30),264,91.03,3.93 (3.69-4.18),6.02,4.90
oligodendrocytes 3,1003,0.083,36.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.123,26.0,200,19,9.5,3.84 (3.19-4.49),181,90.5,3.59 (3.30-3.88),4.30,3.38
