tipo_celular,module_size,ATP2C1_MM,ATP2C1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.328,75.0,140,14,10.0,3.38 (2.66-4.10),126,90.0,4.70 (4.40-4.99),5.51,3.32
T cells 18,477,0.182,64.0,43,2,4.65,3.39 (3.06-3.72),41,95.35,1.95 (1.43-2.47),2.03,7.37
astrocytes 5,423,0.169,62.0,80,3,3.75,2.72 (1.07-4.36),77,96.25,3.43 (2.94-3.92),2.07,5.13
oligodendrocyte progenitor cells 7,666,0.265,88.0,127,19,14.96,2.82 (2.11-3.53),108,85.04,4.12 (3.76-4.48),4.00,6.16
GABA neurons expressing GLU receptors 22,823,0.143,27.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316,0.223,97.0,101,2,1.98,4.82 (4.14-5.50),99,98.02,3.01 (2.65-3.36),2.87,3.06
da like neurons 11,289,0.242,74.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,265,0.118,26.0,78,17,21.79,3.99 (3.18-4.79),61,78.21,4.50 (4.02-4.99),3.58,4.45
endothelial cells 9,1653,0.147,65.0,297,3,1.01,4.20 (2.94-5.47),294,98.99,3.67 (3.46-3.87),3.42,5.54
oligodendrocytes 20,275,0.132,22.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.064,2.0,455,39,8.57,3.50 (2.86-4.13),416,91.43,4.46 (4.27-4.65),16.68,8.10
astrocytes 8,354,0.19,84.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,143,0.495,91.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.429,99.0,358,32,8.94,2.42 (1.79-3.05),326,91.06,4.05 (3.86-4.24),14.60,8.97
connective tissue cells 21,110,0.319,78.0,13,1,7.69,3.69 (NA-NA),12,92.31,3.07 (2.17-3.96),1.49,1.72
astrocytes 15,377,0.202,81.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,82,0.285,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.11,51.0,122,37,30.33,2.72 (2.33-3.11),85,69.67,4.83 (4.34-5.32),4.37,3.10
astrocytes microglia 23,327,0.294,36.0,120,38,31.67,2.67 (2.21-3.14),82,68.33,4.17 (3.85-4.49),3.24,2.59
astrocytes 4,514,0.261,77.0,95,16,16.84,3.00 (2.18-3.83),79,83.16,3.47 (2.99-3.96),2.50,5.07
oligodendrocytes 0,1186,0.158,72.0,300,9,3.0,3.72 (3.01-4.42),291,97.0,3.80 (3.58-4.01),3.53,4.17
microglia 1,480,0.195,52.0,163,17,10.43,3.71 (2.99-4.42),146,89.57,3.71 (3.42-3.99),4.33,5.27
oligodendrocytes 3,854,0.1,60.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17),3.11,4.76
oligodendrocytes 2,804,0.14,35.0,84,5,5.95,1.37 (0.67-2.07),79,94.05,2.79 (2.45-3.14),2.73,3.44
