tipo_celular,module_size,UQCC1_MM,UQCC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.135,33.0,71,4,5.63,1.85 (0.62-3.08),67,94.37,2.68 (2.25-3.11),1.77,3.68
T cells 18,610,0.146,46.0,98,8,8.16,0.65 (0.26-1.05),90,91.84,3.37 (3.07-3.66),9.90,3.52
astrocytes 5,1141,0.094,9.0,166,5,3.01,1.41 (0.23-2.58),161,96.99,3.47 (3.22-3.72),5.38,4.52
oligodendrocyte progenitor cells 7,4285,0.184,99.0,353,17,4.82,1.35 (0.91-1.78),336,95.18,4.06 (3.88-4.24),28.23,7.04
GABA neurons expressing GLU receptors 22,823,0.152,32.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,300,0.213,72.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,853,0.126,46.0,133,6,4.51,0.72 (0.11-1.32),127,95.49,3.40 (3.09-3.70),6.33,4.06
GABA neurons expressing GABA receptors 13,288,0.093,6.0,93,1,1.08,1.74 (NA-NA),92,98.92,5.20 (4.70-5.69),5.69,3.93
endothelial cells 9,1653,0.128,51.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,403,0.074,33.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16),6.82,2.63
GABA like neurons 14,3052,0.163,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266,0.052,16.0,66,9,13.64,0.97 (0.48-1.45),57,86.36,3.65 (3.26-4.03),3.95,2.79
oligodendrocyte progenitor cells 12,3303,0.063,30.0,276,6,2.17,2.03 (1.34-2.71),270,97.83,3.59 (3.37-3.81),5.52,5.10
oligodendrocytes 10,2107,0.069,13.0,358,13,3.63,1.10 (0.62-1.58),345,96.37,4.00 (3.82-4.19),29.25,8.73
connective tissue cells 21,106,0.218,16.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1401,0.082,46.0,96,2,2.08,2.56 (1.91-3.20),94,97.92,3.64 (3.18-4.10),4.11,3.79
oligodendrocytes 16,116,0.146,16.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,409,0.072,11.0,235,8,3.4,2.77 (2.19-3.34),227,96.6,4.04 (3.78-4.29),10.65,4.20
astrocytes microglia 23,96,0.223,3.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,721,0.178,91.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078,0.131,84.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,813,0.107,39.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53),6.31,7.92
oligodendrocytes 3,1003,0.076,27.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.138,51.0,200,5,2.5,2.85 (2.25-3.45),195,97.5,3.65 (3.37-3.92),2.31,3.49
