tipo_celular,module_size,MAPK8IP3_MM,MAPK8IP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.181,36.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,282,0.154,33.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,932,0.097,31.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.09,5.0,353,36,10.2,2.55 (2.08-3.02),317,89.8,4.09 (3.90-4.28),19.04,6.82
GABA neurons expressing GLU receptors 22,487,0.23,57.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,489,0.156,60.0,42,14,33.33,5.50 (4.68-6.31),28,66.67,6.28 (5.55-7.01),3.96,2.84
da like neurons 11,215,0.446,98.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,266,0.158,51.0,118,6,5.08,3.48 (2.20-4.76),112,94.92,4.78 (4.42-5.14),2.88,4.05
endothelial cells 9,1653,0.105,31.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,358,0.193,68.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,1300,0.269,78.0,306,55,17.97,3.40 (2.88-3.93),251,82.03,5.57 (5.31-5.83),11.83,5.58
astrocytes 8,1266,0.138,84.0,66,20,30.3,2.63 (1.80-3.45),46,69.7,3.55 (3.11-3.99),2.90,2.98
oligodendrocyte progenitor cells 12,3303,0.088,62.0,276,25,9.06,2.93 (2.42-3.45),251,90.94,3.62 (3.38-3.85),8.65,4.76
oligodendrocytes 10,806,0.074,15.0,261,27,10.34,4.35 (3.48-5.23),234,89.66,4.37 (4.12-4.62),6.71,5.99
connective tissue cells 21,136,0.354,80.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,367,0.101,23.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,105,0.172,25.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,307,0.161,78.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,78,0.305,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.15,47.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,1186,0.083,2.0,300,9,3.0,3.20 (2.67-3.73),291,97.0,3.81 (3.60-4.02),4.87,4.13
microglia 1,1615,0.076,7.0,161,18,11.18,1.86 (1.18-2.53),143,88.82,3.48 (3.21-3.76),9.50,4.92
oligodendrocytes 3,357,0.108,59.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,407,0.128,21.0,122,18,14.75,1.87 (1.22-2.51),104,85.25,3.67 (3.25-4.09),3.31,2.59
