tipo_celular,module_size,TACC1_MM,TACC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.223,91.0,71,6,8.45,2.62 (0.95-4.30),65,91.55,2.62 (2.19-3.05),2.81,3.65
T cells 18,282,0.205,72.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,423,0.25,87.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666,0.199,71.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,823,0.183,52.0,23,1,4.35,3.78 (NA-NA),22,95.65,2.31 (1.57-3.06),1.46,3.51
GLU like neurons 17,637,0.192,61.0,91,15,16.48,2.82 (1.92-3.72),76,83.52,5.03 (4.48-5.59),3.80,2.91
da like neurons 11,197,0.155,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.112,7.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,658,0.275,72.0,120,5,4.17,3.52 (2.93-4.11),115,95.83,4.66 (4.34-4.99),2.60,3.70
oligodendrocytes 20,676,0.2,43.0,110,7,6.36,3.52 (2.63-4.40),103,93.64,5.14 (4.67-5.61),3.48,3.53
GABA like neurons 14,3052,0.176,80.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.218,95.0,83,1,1.2,NA,82,98.8,3.25 (2.80-3.70),3.18,4.49
oligodendrocyte progenitor cells 12,708,0.283,86.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,130,0.492,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147,0.166,16.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1768,0.087,50.0,105,8,7.62,2.36 (1.17-3.56),97,92.38,3.29 (2.94-3.63),3.84,3.99
oligodendrocytes 16,153,0.307,33.0,14,1,7.14,5.15 (NA-NA),13,92.86,4.63 (3.84-5.42),1.37,3.01
da neurons 6,398,0.115,31.0,138,13,9.42,3.80 (2.68-4.91),125,90.58,4.95 (4.57-5.34),2.74,2.73
astrocytes microglia 23,327,0.202,11.0,120,4,3.33,1.67 (0.28-3.06),116,96.67,3.70 (3.40-4.00),6.48,2.67
astrocytes 4,514,0.334,90.0,95,1,1.05,NA,94,98.95,3.37 (2.95-3.79),2.31,4.67
oligodendrocytes 0,613,0.094,6.0,127,4,3.15,3.78 (3.78-3.78),123,96.85,3.03 (2.61-3.46),4.43,6.34
microglia 1,958,0.202,98.0,290,4,1.38,1.74 (1.73-1.75),286,98.62,3.83 (3.60-4.06),4.59,5.01
oligodendrocytes 3,44,0.302,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,348,0.116,8.0,114,12,10.53,4.00 (3.10-4.90),102,89.47,5.24 (4.80-5.67),5.05,4.32
