tipo_celular,module_size,EXOC5_MM,EXOC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.219,59.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,282,0.196,67.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1141,0.134,53.0,166,8,4.82,2.34 (0.64-4.04),158,95.18,3.43 (3.18-3.68),3.09,4.62
oligodendrocyte progenitor cells 7,4285,0.167,92.0,353,25,7.08,2.71 (2.02-3.41),328,92.92,3.99 (3.80-4.18),13.62,7.64
GABA neurons expressing GLU receptors 22,703,0.245,81.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1316,0.106,34.0,101,2,1.98,3.49 (2.39-4.58),99,98.02,3.04 (2.68-3.40),1.70,3.08
da like neurons 11,1220,0.073,4.0,410,10,2.44,2.51 (1.58-3.44),400,97.56,4.30 (4.11-4.49),8.61,7.49
GABA neurons expressing GABA receptors 13,266,0.088,4.0,118,10,8.47,4.79 (4.19-5.38),108,91.53,4.73 (4.34-5.12),2.69,4.11
endothelial cells 9,385,0.077,20.0,275,8,2.91,1.51 (0.62-2.40),267,97.09,4.05 (3.79-4.31),8.22,5.81
oligodendrocytes 20,330,0.183,55.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,3052,0.141,52.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,520,0.044,9.0,288,20,6.94,3.65 (2.90-4.41),268,93.06,4.22 (4.01-4.42),5.95,4.59
oligodendrocyte progenitor cells 12,708,0.087,38.0,32,6,18.75,1.96 (0.91-3.01),26,81.25,3.53 (2.60-4.45),3.50,2.39
oligodendrocytes 10,735,0.101,53.0,277,1,0.36,4.70 (NA-NA),276,99.64,3.89 (3.65-4.13),1.84,8.97
connective tissue cells 21,136,0.277,46.0,3,1,33.33,NA,2,66.67,0.26 (NA-NA),2.42,1.69
astrocytes 15,367,0.232,91.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,87,0.238,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.121,45.0,124,4,3.23,4.41 (4.05-4.77),120,96.77,4.17 (3.77-4.58),2.62,3.05
astrocytes microglia 23,44,0.377,77.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,787,0.169,81.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.131,40.0,127,1,0.79,2.54 (NA-NA),126,99.21,3.06 (2.64-3.48),4.09,6.30
microglia 1,1615,0.122,67.0,161,11,6.83,1.74 (0.90-2.58),150,93.17,3.40 (3.13-3.67),8.17,5.23
oligodendrocytes 3,743,0.085,56.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.126,31.0,200,3,1.5,3.19 (1.52-4.87),197,98.5,3.63 (3.36-3.90),4.69,3.44
