tipo_celular,module_size,CKAP5_MM,CKAP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.044,1.0,71,7,9.86,2.36 (1.46-3.27),64,90.14,2.66 (2.20-3.11),1.75,3.78
T cells 18,624,0.085,7.0,142,8,5.63,3.64 (3.03-4.24),134,94.37,3.19 (2.91-3.47),4.45,4.29
astrocytes 5,1141,0.093,8.0,166,21,12.65,2.35 (1.80-2.90),145,87.35,3.56 (3.29-3.83),7.72,4.09
oligodendrocyte progenitor cells 7,4285,0.166,91.0,353,42,11.9,2.63 (2.08-3.19),311,88.1,4.10 (3.92-4.28),21.19,6.29
GABA neurons expressing GLU receptors 22,1069,0.101,9.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316,0.113,41.0,101,3,2.97,2.77 (2.53-3.01),98,97.03,3.06 (2.70-3.43),2.35,3.08
da like neurons 11,1220,0.093,12.0,410,20,4.88,3.54 (2.52-4.56),390,95.12,4.29 (4.10-4.47),6.46,7.57
GABA neurons expressing GABA receptors 13,357,0.212,70.0,237,2,0.84,4.19 (2.28-6.10),235,99.16,4.41 (4.18-4.64),4.99,4.18
endothelial cells 9,338,0.094,29.0,191,6,3.14,4.05 (2.47-5.63),185,96.86,3.88 (3.65-4.11),4.28,9.32
oligodendrocytes 20,228,0.154,32.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,3052,0.184,85.0,125,4,3.2,5.32 (3.83-6.81),121,96.8,3.31 (2.99-3.64),4.07,8.76
astrocytes 8,520,0.073,26.0,288,24,8.33,3.63 (2.80-4.46),264,91.67,4.22 (4.02-4.43),4.53,4.70
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,28,10.14,2.41 (1.95-2.88),248,89.86,3.69 (3.46-3.92),10.20,4.54
oligodendrocytes 10,735,0.114,60.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,111,0.303,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.109,70.0,105,14,13.33,1.92 (1.42-2.43),91,86.67,3.43 (3.07-3.79),7.84,3.39
oligodendrocytes 16,155,0.241,65.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50),1.84,1.53
da neurons 6,518,0.194,95.0,122,20,16.39,1.92 (1.30-2.54),102,83.61,4.48 (4.10-4.87),4.43,3.30
astrocytes microglia 23,39,0.328,50.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80),NA,1.48
astrocytes 4,787,0.153,53.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078,0.129,80.0,238,12,5.04,3.72 (2.37-5.07),226,94.96,3.63 (3.41-3.85),5.27,5.01
microglia 1,1615,0.097,31.0,161,24,14.91,1.80 (1.30-2.30),137,85.09,3.58 (3.31-3.86),13.32,4.05
oligodendrocytes 3,639,0.056,12.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88),2.36,2.06
oligodendrocytes 2,921,0.129,35.0,200,13,6.5,4.32 (3.47-5.17),187,93.5,3.57 (3.29-3.84),2.47,3.53
