tipo_celular,module_size,HLTF_MM,HLTF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.171,55.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,624,0.154,51.0,142,2,1.41,3.03 (2.67-3.40),140,98.59,3.21 (2.94-3.48),1.88,4.33
astrocytes 5,1141,0.15,75.0,166,52,31.33,2.47 (2.16-2.79),114,68.67,3.85 (3.55-4.16),6.02,3.88
oligodendrocyte progenitor cells 7,4285,0.127,36.0,353,76,21.53,2.38 (2.09-2.67),277,78.47,4.39 (4.21-4.58),18.82,5.11
GABA neurons expressing GLU receptors 22,714,0.129,18.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96),2.40,4.20
GLU like neurons 17,300,0.223,78.0,16,7,43.75,2.62 (1.82-3.42),9,56.25,1.54 (0.08-3.00),2.01,2.83
da like neurons 11,289,0.172,44.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,73,0.118,16.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,338,0.093,28.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,348,0.124,49.0,33,7,21.21,3.44 (2.57-4.30),26,78.79,2.59 (2.05-3.14),3.35,3.39
GABA like neurons 14,3052,0.183,84.0,125,10,8.0,3.62 (2.97-4.27),115,92.0,3.34 (2.99-3.68),3.42,9.06
astrocytes 8,354,0.108,43.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,67,24.28,2.41 (2.14-2.68),209,75.72,3.99 (3.74-4.25),9.03,3.85
oligodendrocytes 10,735,0.126,66.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,77,0.24,32.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,268,0.053,25.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,113,0.185,33.0,10,3,30.0,2.55 (1.82-3.29),7,70.0,3.11 (1.98-4.23),2.85,1.47
da neurons 6,518,0.157,84.0,122,13,10.66,2.12 (1.17-3.07),109,89.34,4.29 (3.90-4.68),4.12,3.41
astrocytes microglia 23,112,0.259,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.167,79.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),2.40,5.80
oligodendrocytes 0,2078,0.11,42.0,238,30,12.61,3.00 (2.59-3.41),208,87.39,3.74 (3.49-3.98),5.50,4.95
microglia 1,1615,0.129,76.0,161,72,44.72,2.28 (2.01-2.55),89,55.28,4.27 (3.95-4.59),8.24,3.16
oligodendrocytes 3,743,0.101,73.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.128,34.0,200,10,5.0,3.05 (2.33-3.78),190,95.0,3.65 (3.38-3.93),5.33,3.37
