tipo_celular,module_size,CREBRF_MM,CREBRF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.208,79.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,610,0.172,65.0,98,39,39.8,2.08 (1.71-2.44),59,60.2,3.91 (3.56-4.26),5.88,2.82
astrocytes 5,1656,0.111,42.0,136,7,5.15,1.58 (1.33-1.84),129,94.85,3.31 (3.03-3.59),7.13,4.87
oligodendrocyte progenitor cells 7,4285,0.151,73.0,353,65,18.41,2.42 (2.09-2.75),288,81.59,4.34 (4.16-4.53),18.96,5.60
GABA neurons expressing GLU receptors 22,400,0.15,22.0,24,10,41.67,1.66 (0.65-2.66),14,58.33,2.51 (2.06-2.96),4.75,2.75
GLU like neurons 17,1316,0.186,90.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,108,0.213,52.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,238,0.122,24.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,385,0.092,39.0,275,76,27.64,2.82 (2.44-3.19),199,72.36,4.68 (4.39-4.96),9.15,4.63
oligodendrocytes 20,275,0.175,40.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.253,56.0,455,33,7.25,2.63 (1.94-3.33),422,92.75,4.53 (4.35-4.71),17.11,8.19
astrocytes 8,727,0.12,59.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.111,84.0,276,49,17.75,2.24 (1.99-2.50),227,82.25,3.94 (3.69-4.18),9.38,4.19
oligodendrocytes 10,735,0.047,11.0,277,8,2.89,6.45 (5.85-7.06),269,97.11,3.80 (3.56-4.04),2.79,9.13
connective tissue cells 21,90,0.316,66.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,1401,0.107,69.0,96,4,4.17,2.34 (1.47-3.22),92,95.83,3.68 (3.21-4.15),1.62,3.89
oligodendrocytes 16,156,0.185,39.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,448,0.17,89.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,134,0.247,16.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA),2.03,1.45
astrocytes 4,787,0.144,36.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.225,95.0,127,20,15.75,2.88 (2.13-3.63),107,84.25,3.10 (2.61-3.60),3.33,6.83
microglia 1,1615,0.192,99.0,161,60,37.27,2.22 (1.94-2.50),101,62.73,4.12 (3.81-4.44),8.48,3.62
oligodendrocytes 3,681,0.171,91.0,87,57,65.52,2.54 (2.25-2.82),30,34.48,2.69 (2.07-3.31),4.89,3.01
oligodendrocytes 2,921,0.177,94.0,200,4,2.0,2.03 (1.19-2.87),196,98.0,3.65 (3.38-3.92),7.00,3.39
