tipo_celular,module_size,PJA2_MM,PJA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.191,45.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52),1.33,5.50
T cells 18,282,0.224,75.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,228,0.21,68.0,266,12,4.51,2.12 (1.02-3.21),254,95.49,4.23 (4.03-4.43),5.62,4.95
oligodendrocyte progenitor cells 7,296,0.197,59.0,251,3,1.2,4.29 (NA-NA),248,98.8,4.06 (3.82-4.30),2.71,6.20
GABA neurons expressing GLU receptors 22,848,0.371,88.0,262,19,7.25,3.37 (2.65-4.09),243,92.75,4.24 (3.98-4.50),4.98,4.03
GLU like neurons 17,489,0.16,61.0,42,3,7.14,3.78 (2.70-4.86),39,92.86,6.24 (5.70-6.77),4.38,3.12
da like neurons 11,1220,0.341,87.0,410,17,4.15,3.52 (3.00-4.03),393,95.85,4.29 (4.09-4.48),8.09,7.49
GABA neurons expressing GABA receptors 13,265,0.17,57.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,338,0.17,64.0,191,1,0.52,4.56 (NA-NA),190,99.48,3.88 (3.66-4.11),2.34,9.19
oligodendrocytes 20,250,0.088,16.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.4,80.0,455,25,5.49,2.66 (1.97-3.35),430,94.51,4.47 (4.29-4.66),18.76,8.26
astrocytes 8,520,0.29,86.0,288,16,5.56,3.36 (2.73-3.99),272,94.44,4.23 (4.02-4.43),3.61,4.75
oligodendrocyte progenitor cells 12,3303,0.151,99.0,276,37,13.41,2.89 (2.40-3.39),239,86.59,3.65 (3.41-3.89),8.47,4.59
oligodendrocytes 10,806,0.416,91.0,261,6,2.3,3.76 (2.55-4.97),255,97.7,4.38 (4.13-4.63),6.15,6.06
connective tissue cells 21,125,0.302,53.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1768,0.125,81.0,105,21,20.0,2.70 (2.14-3.25),84,80.0,3.35 (2.96-3.75),6.28,3.40
oligodendrocytes 16,313,0.388,86.0,291,5,1.72,3.22 (1.39-5.05),286,98.28,4.35 (4.12-4.57),2.92,3.83
da neurons 6,300,0.23,71.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,255,0.245,41.0,57,8,14.04,3.67 (2.85-4.49),49,85.96,2.46 (2.09-2.84),3.04,3.38
astrocytes 4,157,0.143,22.0,178,11,6.18,2.13 (0.92-3.35),167,93.82,4.31 (4.05-4.57),4.45,4.50
oligodendrocytes 0,613,0.12,26.0,127,1,0.79,1.01 (NA-NA),126,99.21,3.08 (2.66-3.49),5.73,6.28
microglia 1,214,0.155,41.0,227,5,2.2,3.76 (2.55-4.97),222,97.8,4.10 (3.86-4.34),4.26,6.16
oligodendrocytes 3,457,0.189,78.0,345,17,4.93,3.95 (3.48-4.42),328,95.07,4.29 (4.07-4.51),4.31,5.76
oligodendrocytes 2,528,0.269,78.0,175,3,1.71,1.71 (1.27-2.16),172,98.29,4.45 (4.10-4.80),3.84,4.63
