tipo_celular,module_size,RNMT_MM,RNMT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.085,8.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,610,0.146,46.0,98,26,26.53,1.63 (1.24-2.01),72,73.47,3.74 (3.44-4.05),7.36,2.84
astrocytes 5,423,0.103,16.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.14,57.0,353,40,11.33,1.91 (1.52-2.30),313,88.67,4.23 (4.06-4.41),28.93,5.40
GABA neurons expressing GLU receptors 22,487,0.16,24.0,73,6,8.22,1.48 (1.40-1.56),67,91.78,2.89 (2.48-3.30),2.61,7.75
GLU like neurons 17,1316,0.073,9.0,101,2,1.98,2.68 (2.38-2.97),99,98.02,3.06 (2.70-3.42),2.55,3.06
da like neurons 11,1220,0.074,5.0,410,3,0.73,1.52 (-0.15-3.19),407,99.27,4.28 (4.09-4.46),18.66,7.43
GABA neurons expressing GABA receptors 13,77,0.195,65.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,338,0.095,30.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,938,0.141,57.0,169,4,2.37,1.62 (-0.26-3.49),165,97.63,3.54 (3.32-3.75),3.37,5.41
GABA like neurons 14,2402,0.353,74.0,455,26,5.71,1.73 (1.28-2.18),429,94.29,4.57 (4.39-4.74),19.46,8.19
astrocytes 8,577,0.075,42.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72),4.43,4.47
oligodendrocyte progenitor cells 12,3303,0.046,12.0,276,30,10.87,1.96 (1.60-2.31),246,89.13,3.81 (3.58-4.03),13.30,4.11
oligodendrocytes 10,735,0.103,55.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,126,0.272,48.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,1401,0.076,41.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12),8.25,3.70
oligodendrocytes 16,155,0.176,28.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,448,0.111,61.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,124,0.334,64.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,787,0.124,10.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),2.40,5.80
oligodendrocytes 0,2078,0.104,30.0,238,8,3.36,2.79 (1.62-3.97),230,96.64,3.67 (3.45-3.89),10.56,4.83
microglia 1,958,0.082,9.0,290,5,1.72,2.48 (1.74-3.22),285,98.28,3.84 (3.61-4.08),10.73,4.90
oligodendrocytes 3,357,0.143,78.0,127,3,2.36,3.61 (2.07-5.16),124,97.64,3.11 (2.77-3.45),4.07,4.24
oligodendrocytes 2,921,0.099,5.0,200,6,3.0,3.13 (2.15-4.11),194,97.0,3.64 (3.37-3.91),7.72,3.33
