tipo_celular,module_size,EXOC6B_MM,EXOC6B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.237,79.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,349,0.22,62.0,68,7,10.29,2.96 (1.81-4.11),61,89.71,4.59 (3.99-5.18),3.18,3.33
astrocytes 5,118,0.217,49.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,229,0.051,3.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.127,18.0,16,2,12.5,2.34 (1.57-3.12),14,87.5,1.91 (1.13-2.69),1.65,3.92
GLU like neurons 17,637,0.141,42.0,91,9,9.89,2.00 (0.94-3.06),82,90.11,4.93 (4.42-5.44),4.01,2.96
da like neurons 11,102,0.431,90.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,288,0.271,80.0,93,2,2.15,2.09 (1.41-2.76),91,97.85,5.24 (4.74-5.73),4.38,3.94
endothelial cells 9,1653,0.279,100.0,297,7,2.36,3.59 (3.05-4.12),290,97.64,3.68 (3.47-3.88),5.97,5.51
oligodendrocytes 20,676,0.455,74.0,110,5,4.55,3.87 (2.54-5.19),105,95.45,5.07 (4.60-5.53),2.95,3.55
GABA like neurons 14,1300,0.204,49.0,306,11,3.59,2.47 (1.59-3.35),295,96.41,5.24 (4.98-5.50),4.29,6.80
astrocytes 8,771,0.248,75.0,48,1,2.08,5.50 (NA-NA),47,97.92,4.40 (3.63-5.17),2.21,3.16
oligodendrocyte progenitor cells 12,708,0.135,60.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,204,0.328,26.0,92,1,1.09,2.43 (NA-NA),91,98.91,5.76 (5.29-6.23),7.21,3.68
connective tissue cells 21,250,0.176,11.0,117,3,2.56,1.97 (1.51-2.42),114,97.44,5.50 (5.11-5.88),5.19,3.70
astrocytes 15,268,0.324,93.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76),1.92,1.55
oligodendrocytes 16,287,0.154,12.0,105,4,3.81,2.85 (1.09-4.61),101,96.19,5.21 (4.76-5.66),4.80,3.42
da neurons 6,398,0.282,85.0,138,4,2.9,2.31 (-0.08-4.70),134,97.1,4.91 (4.55-5.28),2.35,2.75
astrocytes microglia 23,54,0.195,4.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,220,0.107,12.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,479,0.258,94.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615,0.125,71.0,161,9,5.59,1.54 (0.71-2.37),152,94.41,3.40 (3.13-3.67),8.43,5.25
oligodendrocytes 3,1003,0.183,93.0,111,2,1.8,5.76 (3.97-7.55),109,98.2,3.25 (2.91-3.59),2.37,4.27
oligodendrocytes 2,348,0.318,86.0,114,1,0.88,2.43 (NA-NA),113,99.12,5.15 (4.74-5.56),4.06,4.40
