tipo_celular,module_size,EPS15_MM,EPS15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.505,100.0,32,6,18.75,4.61 (3.57-5.65),26,81.25,3.47 (2.53-4.41),2.14,3.95
T cells 18,388,0.166,58.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141,0.136,58.0,166,8,4.82,1.98 (0.50-3.46),158,95.18,3.46 (3.20-3.71),4.34,4.56
oligodendrocyte progenitor cells 7,229,0.222,63.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.24,68.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68),1.54,4.33
GLU like neurons 17,685,0.085,18.0,135,5,3.7,1.65 (0.76-2.54),130,96.3,3.25 (2.93-3.56),4.41,3.72
da like neurons 11,200,0.157,39.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,88,0.133,34.0,2,1,50.0,NA,1,50.0,NA,1.72,1.62
endothelial cells 9,1653,0.158,72.0,297,4,1.35,5.87 (3.86-7.88),293,98.65,3.65 (3.45-3.86),4.77,5.53
oligodendrocytes 20,676,0.407,68.0,110,6,5.45,3.24 (1.75-4.72),104,94.55,5.11 (4.66-5.57),2.85,3.56
GABA like neurons 14,3052,0.152,62.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771,0.119,48.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708,0.301,87.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,236,0.351,17.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,125,0.177,5.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,367,0.109,28.0,17,3,17.65,5.03 (2.96-7.10),14,82.35,1.40 (0.72-2.08),1.58,3.66
oligodendrocytes 16,153,0.423,76.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,228,0.171,85.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA),1.75,2.23
astrocytes microglia 23,70,0.167,5.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,752,0.158,58.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,261,0.161,35.0,42,3,7.14,1.74 (1.73-1.75),39,92.86,4.22 (3.51-4.92),1.84,2.31
microglia 1,1615,0.172,96.0,161,17,10.56,1.58 (0.90-2.25),144,89.44,3.51 (3.24-3.77),10.63,4.82
oligodendrocytes 3,116,0.282,62.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05),NA,1.47
oligodendrocytes 2,237,0.166,26.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
