tipo_celular,module_size,LARGE1_MM,LARGE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.141,11.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.139,84.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.069,3.0,127,1,0.79,5.28 (NA-NA),126,99.21,3.82 (3.48-4.16),1.63,5.87
GABA neurons expressing GLU receptors 22,459.0,0.312,90.0,165,3,1.82,3.55 (2.20-4.90),162,98.18,5.11 (4.75-5.46),5.39,4.07
GLU like neurons 17,489.0,0.341,94.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,191.0,0.243,45.0,93,1,1.08,1.29 (NA-NA),92,98.92,5.71 (5.32-6.10),1.90,4.16
GABA neurons expressing GABA receptors 13,288.0,0.146,38.0,93,3,3.23,4.68 (1.14-8.23),90,96.77,5.17 (4.67-5.67),3.89,3.95
endothelial cells 9,1653.0,0.223,95.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,358.0,0.279,88.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,1300.0,0.26,74.0,306,9,2.94,2.96 (1.49-4.42),297,97.06,5.19 (4.93-5.45),4.45,6.77
astrocytes 8,1266.0,0.183,93.0,66,7,10.61,0.81 (0.18-1.45),59,89.39,3.56 (3.18-3.95),3.97,2.83
oligodendrocyte progenitor cells 12,708.0,0.176,70.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83),3.91,2.23
oligodendrocytes 10,1277.0,0.167,80.0,27,2,7.41,7.31 (5.40-9.21),25,92.59,5.17 (4.28-6.06),2.22,6.71
connective tissue cells 21,106.0,0.228,27.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,261.0,0.091,17.0,8,3,37.5,1.32 (-0.64-3.28),5,62.5,5.45 (3.66-7.23),1.70,1.91
oligodendrocytes 16,69.0,0.173,18.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,398.0,0.144,48.0,138,6,4.35,2.17 (1.05-3.29),132,95.65,4.97 (4.60-5.33),2.26,2.76
astrocytes microglia 23,253.0,0.265,54.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,201.0,0.18,58.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,1186.0,0.161,77.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,813.0,0.148,78.0,79,3,3.8,2.28 (1.65-2.91),76,96.2,3.14 (2.72-3.55),4.93,8.02
oligodendrocytes 3,1003.0,0.134,78.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.148,24.0,114,4,3.51,5.09 (2.46-7.73),110,96.49,5.12 (4.70-5.53),5.32,4.36
