tipo_celular,module_size,PPM1A_MM,PPM1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.161,52.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46),4.42,4.91
T cells 18,610,0.127,30.0,98,36,36.73,1.95 (1.61-2.29),62,63.27,3.93 (3.59-4.26),6.21,2.77
astrocytes 5,1656,0.102,29.0,136,5,3.68,1.66 (1.34-1.98),131,96.32,3.28 (3.00-3.55),7.45,4.89
oligodendrocyte progenitor cells 7,4285,0.132,46.0,353,58,16.43,2.19 (1.92-2.46),295,83.57,4.35 (4.17-4.53),20.70,5.58
GABA neurons expressing GLU receptors 22,487,0.274,70.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,1316,0.118,46.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42),2.87,3.06
da like neurons 11,1220,0.104,17.0,410,4,0.98,2.37 (0.99-3.75),406,99.02,4.27 (4.09-4.46),9.54,7.50
GABA neurons expressing GABA receptors 13,93,0.223,86.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.111,36.0,297,3,1.01,2.88 (2.50-3.25),294,98.99,3.68 (3.48-3.89),7.05,5.50
oligodendrocytes 20,938,0.037,7.0,169,4,2.37,1.01 (0.24-1.78),165,97.63,3.55 (3.34-3.77),6.52,5.34
GABA like neurons 14,2402,0.199,41.0,455,19,4.18,1.35 (0.92-1.79),436,95.82,4.53 (4.35-4.70),25.00,8.13
astrocytes 8,520,0.075,27.0,288,5,1.74,2.15 (1.00-3.30),283,98.26,4.22 (4.02-4.42),3.19,4.71
oligodendrocyte progenitor cells 12,3303,0.129,93.0,276,49,17.75,2.32 (2.01-2.62),227,82.25,3.90 (3.66-4.15),9.62,4.14
oligodendrocytes 10,806,0.162,52.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62),8.93,6.05
connective tissue cells 21,85,0.274,34.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1768,0.112,73.0,105,19,18.1,1.77 (1.38-2.16),86,81.9,3.56 (3.20-3.93),7.05,3.30
oligodendrocytes 16,151,0.112,2.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,553,0.224,89.0,124,4,3.23,2.59 (1.14-4.04),120,96.77,4.26 (3.86-4.66),2.84,3.04
astrocytes microglia 23,42,0.369,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.19,98.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.151,99.0,238,19,7.98,2.61 (2.26-2.96),219,92.02,3.74 (3.51-3.98),6.23,4.92
microglia 1,1615,0.104,41.0,161,57,35.4,2.20 (1.93-2.47),104,64.6,4.09 (3.77-4.41),9.10,3.42
oligodendrocytes 3,743,0.083,52.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.163,87.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91),5.80,3.44
