tipo_celular,module_size,USP14_MM,USP14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.097,12.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01),1.84,4.26
T cells 18,610,0.155,53.0,98,30,30.61,2.32 (1.81-2.82),68,69.39,3.53 (3.17-3.89),4.99,3.62
astrocytes 5,1656,0.137,83.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,4285,0.133,47.0,353,43,12.18,2.66 (2.18-3.14),310,87.82,4.11 (3.92-4.30),19.81,6.43
GABA neurons expressing GLU receptors 22,599,0.142,17.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,300,0.26,91.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,209,0.173,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357,0.06,1.0,237,4,1.69,4.53 (3.72-5.33),233,98.31,4.40 (4.17-4.64),3.62,4.19
endothelial cells 9,450,0.089,10.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,221,0.234,63.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402,0.233,51.0,455,45,9.89,3.67 (2.98-4.35),410,90.11,4.44 (4.25-4.62),17.25,7.91
astrocytes 8,140,0.083,39.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303,0.103,77.0,276,35,12.68,3.00 (2.49-3.51),241,87.32,3.64 (3.40-3.88),8.80,4.57
oligodendrocytes 10,735,0.206,90.0,277,3,1.08,6.28 (5.50-7.05),274,98.92,3.87 (3.63-4.11),3.96,9.00
connective tissue cells 21,111,0.216,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367,0.041,8.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,313,0.144,16.0,291,8,2.75,3.55 (2.57-4.53),283,97.25,4.35 (4.13-4.58),3.38,3.83
da neurons 6,518,0.16,85.0,122,28,22.95,2.97 (2.28-3.66),94,77.05,4.34 (3.90-4.79),3.11,3.59
astrocytes microglia 23,122,0.335,72.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,787,0.19,99.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.127,24.0,300,5,1.67,3.70 (2.26-5.14),295,98.33,3.79 (3.59-4.00),6.25,4.12
microglia 1,813,0.106,37.0,79,3,3.8,4.08 (2.32-5.85),76,96.2,3.06 (2.65-3.47),1.72,8.15
oligodendrocytes 3,1003,0.084,36.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.119,22.0,200,4,2.0,3.69 (1.76-5.62),196,98.0,3.62 (3.35-3.89),4.48,3.44
