tipo_celular,module_size,YWHAG_MM,YWHAG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.355,89.0,140,1,0.71,NA,139,99.29,4.51 (4.08-4.93),2.22,3.58
T cells 18,282,0.419,95.0,241,2,0.83,3.48 (3.47-3.49),239,99.17,4.06 (3.81-4.32),1.46,4.36
astrocytes 5,228,0.399,95.0,266,27,10.15,2.93 (2.11-3.74),239,89.85,4.22 (4.01-4.43),7.84,4.66
oligodendrocyte progenitor cells 7,296,0.367,94.0,251,5,1.99,NA,246,98.01,4.07 (3.83-4.30),2.41,6.23
GABA neurons expressing GLU receptors 22,848,0.384,89.0,262,37,14.12,3.98 (3.37-4.59),225,85.88,4.19 (3.92-4.46),7.20,3.59
GLU like neurons 17,1316,0.225,97.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41),3.61,3.05
da like neurons 11,1220,0.522,98.0,410,20,4.88,3.51 (2.81-4.21),390,95.12,4.28 (4.09-4.47),15.04,7.13
GABA neurons expressing GABA receptors 13,266,0.24,85.0,118,3,2.54,4.65 (2.95-6.34),115,97.46,4.74 (4.38-5.10),2.46,4.03
endothelial cells 9,338,0.405,95.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,250,0.073,15.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.485,87.0,455,28,6.15,2.19 (1.45-2.93),427,93.85,4.47 (4.29-4.66),21.10,8.03
astrocytes 8,520,0.487,98.0,288,20,6.94,3.04 (2.37-3.72),268,93.06,4.24 (4.03-4.44),9.16,4.35
oligodendrocyte progenitor cells 12,3303,0.134,95.0,276,23,8.33,2.11 (1.65-2.58),253,91.67,3.70 (3.47-3.93),8.57,4.80
oligodendrocytes 10,806,0.567,98.0,261,12,4.6,4.26 (3.12-5.41),249,95.4,4.37 (4.12-4.62),5.99,6.07
connective tissue cells 21,101,0.363,63.0,116,9,7.76,2.77 (1.62-3.93),107,92.24,4.73 (4.31-5.15),3.88,3.16
astrocytes 15,261,0.175,64.0,8,4,50.0,2.11 (0.07-4.15),4,50.0,5.77 (3.36-8.18),1.59,2.07
oligodendrocytes 16,313,0.49,94.0,291,7,2.41,3.14 (1.23-5.06),284,97.59,4.35 (4.12-4.57),2.56,3.85
da neurons 6,307,0.281,98.0,95,7,7.37,4.76 (4.10-5.43),88,92.63,4.85 (4.38-5.33),4.74,3.25
astrocytes microglia 23,70,0.372,66.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,157,0.369,86.0,178,17,9.55,2.68 (1.64-3.73),161,90.45,4.29 (4.02-4.56),7.22,4.21
oligodendrocytes 0,116,0.245,74.0,169,1,0.59,NA,168,99.41,4.28 (3.98-4.57),1.49,6.52
microglia 1,214,0.341,87.0,227,11,4.85,3.63 (2.62-4.65),216,95.15,4.11 (3.87-4.35),14.05,5.72
oligodendrocytes 3,457,0.327,94.0,345,26,7.54,4.38 (3.69-5.07),319,92.46,4.26 (4.05-4.48),10.06,5.34
oligodendrocytes 2,99,0.323,70.0,116,3,2.59,3.48 (3.47-3.49),113,97.41,3.97 (3.66-4.27),2.01,7.37
