tipo_celular,module_size,FTH1_MM,FTH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.386,75.0,98,8,8.16,2.99 (1.33-4.64),90,91.84,3.23 (2.73-3.72),7.08,14.02
T cells 18,393,0.194,71.0,59,4,6.78,3.71 (3.08-4.34),55,93.22,3.06 (2.52-3.59),3.13,5.51
astrocytes 5,328,0.547,99.0,128,1,0.78,3.77 (NA-NA),127,99.22,3.57 (3.22-3.91),2.40,6.80
oligodendrocyte progenitor cells 7,448,0.519,100.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487,0.508,100.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,685,0.4,97.0,135,13,9.63,1.95 (1.27-2.63),122,90.37,3.30 (2.98-3.62),4.98,3.62
da like neurons 11,1220,0.37,90.0,410,26,6.34,3.27 (2.78-3.76),384,93.66,4.31 (4.12-4.51),14.57,7.04
GABA neurons expressing GABA receptors 13,417,0.273,94.0,213,25,11.74,2.15 (1.42-2.88),188,88.26,3.97 (3.72-4.21),8.15,9.89
endothelial cells 9,916,0.662,100.0,302,9,2.98,3.05 (1.76-4.35),293,97.02,4.01 (3.78-4.24),7.85,10.74
oligodendrocytes 20,938,0.456,100.0,169,18,10.65,2.89 (2.05-3.73),151,89.35,3.53 (3.31-3.76),7.58,5.10
GABA like neurons 14,2402,0.689,99.0,455,30,6.59,2.30 (1.65-2.95),425,93.41,4.48 (4.30-4.67),23.75,7.78
astrocytes 8,603,0.387,100.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,1049,0.569,100.0,235,19,8.09,3.83 (3.57-4.09),216,91.91,3.82 (3.58-4.07),7.30,7.64
oligodendrocytes 10,483,0.231,76.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,301,0.644,97.0,158,15,9.49,3.23 (2.48-3.99),143,90.51,4.36 (3.97-4.75),5.56,7.23
astrocytes 15,458,0.206,84.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.89,2.59
oligodendrocytes 16,96,0.246,62.0,102,12,11.76,2.45 (1.52-3.39),90,88.24,3.44 (3.09-3.79),4.10,8.14
da neurons 6,729,0.377,100.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,137,0.449,80.0,188,13,6.91,2.20 (1.39-3.01),175,93.09,4.57 (4.23-4.92),3.99,7.38
astrocytes 4,208,0.5,96.0,173,15,8.67,4.06 (3.80-4.32),158,91.33,3.77 (3.44-4.10),2.19,5.95
oligodendrocytes 0,546,0.687,100.0,252,34,13.49,2.57 (1.99-3.15),218,86.51,4.32 (4.07-4.58),13.51,7.38
microglia 1,406,0.554,94.0,278,7,2.52,3.88 (3.47-4.29),271,97.48,4.38 (4.10-4.66),2.16,6.85
oligodendrocytes 3,127,0.589,98.0,45,2,4.44,0.79 (NA-NA),43,95.56,4.46 (3.62-5.29),2.29,6.09
oligodendrocytes 2,526,0.785,100.0,213,2,0.94,4.47 (NA-NA),211,99.06,3.98 (3.70-4.25),4.58,7.97
