tipo_celular,module_size,MAP3K13_MM,MAP3K13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.18,67.0,71,6,8.45,1.71 (0.92-2.50),65,91.55,2.72 (2.28-3.16),1.75,3.75
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.155,44.0,58,24,41.38,3.28 (2.83-3.73),34,58.62,4.85 (4.30-5.39),2.10,2.47
oligodendrocyte progenitor cells 7,666.0,0.134,25.0,127,31,24.41,3.73 (3.14-4.31),96,75.59,3.89 (3.48-4.31),3.45,6.61
GABA neurons expressing GLU receptors 22,599.0,0.182,34.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,489.0,0.165,65.0,42,17,40.48,6.30 (5.42-7.19),25,59.52,5.64 (5.02-6.25),3.09,3.30
da like neurons 11,289.0,0.246,75.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,238.0,0.114,19.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,385.0,0.124,66.0,275,32,11.64,2.13 (1.77-2.48),243,88.36,4.31 (4.04-4.58),9.33,5.43
oligodendrocytes 20,403.0,0.197,77.0,18,3,16.67,1.43 (0.35-2.51),15,83.33,1.97 (1.18-2.76),2.69,4.01
GABA like neurons 14,1300.0,0.242,66.0,306,86,28.1,4.51 (3.99-5.04),220,71.9,5.39 (5.10-5.67),9.54,5.60
astrocytes 8,354.0,0.142,62.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,44,15.94,2.35 (2.04-2.65),232,84.06,3.85 (3.61-4.09),7.07,4.74
oligodendrocytes 10,1277.0,0.043,8.0,27,3,11.11,7.31 (5.40-9.21),24,88.89,5.17 (4.28-6.06),2.05,6.92
connective tissue cells 21,104.0,0.197,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.16,94.0,105,17,16.19,1.72 (1.30-2.15),88,83.81,3.53 (3.17-3.89),5.04,3.77
oligodendrocytes 16,121.0,0.206,48.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,553.0,0.117,42.0,124,7,5.65,3.60 (2.90-4.30),117,94.35,4.22 (3.81-4.64),2.20,3.08
astrocytes microglia 23,92.0,0.169,3.0,11,3,27.27,5.03 (4.76-5.30),8,72.73,4.06 (3.37-4.75),1.59,2.00
astrocytes 4,514.0,0.124,12.0,95,8,8.42,2.65 (0.87-4.44),87,91.58,3.45 (3.02-3.87),2.61,4.83
oligodendrocytes 0,309.0,0.127,41.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,958.0,0.082,9.0,290,15,5.17,2.41 (1.80-3.03),275,94.83,3.91 (3.68-4.15),4.99,5.00
oligodendrocytes 3,242.0,0.131,52.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,804.0,0.16,59.0,84,15,17.86,2.85 (2.15-3.55),69,82.14,2.65 (2.26-3.03),3.80,3.31
