tipo_celular,module_size,UBA3_MM,UBA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.068,3.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,624,0.099,13.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.109,21.0,166,18,10.84,2.24 (1.52-2.96),148,89.16,3.54 (3.28-3.80),6.44,4.32
oligodendrocyte progenitor cells 7,4285,0.141,59.0,353,28,7.93,1.93 (1.38-2.47),325,92.07,4.10 (3.92-4.28),28.91,6.27
GABA neurons expressing GLU receptors 22,823,0.217,74.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,1316,0.23,97.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,408,0.069,6.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34),2.19,2.28
GABA neurons expressing GABA receptors 13,266,0.104,17.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,1653,0.083,16.0,297,7,2.36,3.71 (2.97-4.45),290,97.64,3.67 (3.47-3.88),10.89,5.39
oligodendrocytes 20,330,0.093,18.0,36,1,2.78,1.01 (NA-NA),35,97.22,1.95 (1.59-2.30),4.42,3.09
GABA like neurons 14,3052,0.141,52.0,125,4,3.2,3.28 (2.73-3.82),121,96.8,3.35 (3.02-3.68),4.50,8.75
astrocytes 8,354,0.095,33.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,21,7.61,2.42 (1.77-3.07),255,92.39,3.64 (3.42-3.87),12.07,4.54
oligodendrocytes 10,2107,0.164,56.0,358,29,8.1,2.01 (1.46-2.55),329,91.9,4.07 (3.88-4.26),28.54,7.79
connective tissue cells 21,116,0.259,36.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,1401,0.068,33.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,65,0.222,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.103,43.0,122,11,9.02,1.58 (0.80-2.37),111,90.98,4.31 (3.93-4.69),2.69,3.56
astrocytes microglia 23,134,0.247,15.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,721,0.155,58.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186,0.143,46.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.113,56.0,161,26,16.15,1.86 (1.28-2.44),135,83.85,3.59 (3.32-3.86),11.57,4.25
oligodendrocytes 3,681,0.096,52.0,87,11,12.64,1.25 (0.72-1.79),76,87.36,2.79 (2.52-3.07),6.37,3.93
oligodendrocytes 2,921,0.126,30.0,200,3,1.5,3.18 (1.94-4.41),197,98.5,3.63 (3.36-3.90),4.66,3.45
