tipo_celular,module_size,PDPK1_MM,PDPK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.179,51.0,73,15,20.55,4.02 (3.75-4.29),58,79.45,3.41 (2.97-3.86),2.74,3.34
T cells 18,610,0.103,15.0,98,28,28.57,2.55 (2.07-3.03),70,71.43,3.37 (2.98-3.76),3.77,4.14
astrocytes 5,932,0.133,80.0,80,3,3.75,3.84 (3.13-4.55),77,96.25,3.66 (3.24-4.09),2.00,4.39
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,37,10.48,2.50 (2.10-2.89),316,89.52,4.10 (3.91-4.30),15.26,7.22
GABA neurons expressing GLU receptors 22,1069,0.142,34.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1247,0.135,51.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31),2.61,3.28
da like neurons 11,215,0.361,91.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,70,0.211,77.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,1653,0.11,35.0,297,4,1.35,3.12 (1.95-4.29),293,98.65,3.68 (3.47-3.88),3.87,5.54
oligodendrocytes 20,298,0.153,55.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090,0.277,97.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35),3.87,10.68
astrocytes 8,1266,0.095,63.0,66,23,34.85,3.05 (2.53-3.56),43,65.15,3.35 (2.73-3.96),2.96,2.95
oligodendrocyte progenitor cells 12,708,0.05,16.0,32,11,34.38,2.60 (1.91-3.28),21,65.62,3.61 (2.43-4.79),2.86,2.46
oligodendrocytes 10,735,0.042,8.0,277,3,1.08,6.07 (4.82-7.31),274,98.92,3.86 (3.62-4.10),2.40,9.02
connective tissue cells 21,136,0.215,12.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,443,0.103,14.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18),3.19,1.73
oligodendrocytes 16,84,0.144,25.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,553,0.096,26.0,124,8,6.45,3.65 (3.05-4.25),116,93.55,4.23 (3.81-4.65),2.20,3.09
astrocytes microglia 23,58,0.315,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.202,100.0,61,3,4.92,2.51 (0.99-4.04),58,95.08,2.99 (2.56-3.42),2.49,6.20
oligodendrocytes 0,1186,0.117,14.0,300,23,7.67,4.23 (3.66-4.80),277,92.33,3.75 (3.53-3.97),4.55,4.12
microglia 1,1615,0.127,73.0,161,31,19.25,2.56 (2.09-3.03),130,80.75,3.48 (3.17-3.79),6.82,5.10
oligodendrocytes 3,681,0.079,35.0,87,16,18.39,2.12 (1.60-2.64),71,81.61,2.69 (2.38-3.00),4.35,4.22
oligodendrocytes 2,921,0.126,31.0,200,6,3.0,5.12 (3.14-7.10),194,97.0,3.56 (3.30-3.83),3.50,3.46
