tipo_celular,module_size,BRD4_MM,BRD4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.155,23.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,610,0.157,55.0,98,48,48.98,2.46 (2.07-2.86),50,51.02,3.77 (3.36-4.19),5.23,2.89
astrocytes 5,322,0.127,25.0,58,20,34.48,3.07 (2.68-3.47),38,65.52,4.87 (4.36-5.38),2.18,2.39
oligodendrocyte progenitor cells 7,4285,0.168,92.0,353,88,24.93,2.56 (2.27-2.84),265,75.07,4.41 (4.22-4.60),15.36,5.64
GABA neurons expressing GLU receptors 22,1069,0.082,5.0,37,9,24.32,2.69 (1.65-3.72),28,75.68,2.03 (1.53-2.53),2.27,3.37
GLU like neurons 17,1247,0.116,36.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,853,0.205,84.0,133,60,45.11,2.38 (2.06-2.69),73,54.89,4.12 (3.68-4.55),5.15,3.35
GABA neurons expressing GABA receptors 13,88,0.264,95.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.129,52.0,297,31,10.44,3.76 (3.39-4.12),266,89.56,3.67 (3.45-3.89),4.93,5.59
oligodendrocytes 20,233,0.181,45.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300,0.267,77.0,306,37,12.09,2.95 (2.57-3.34),269,87.91,5.53 (5.27-5.80),6.28,6.77
astrocytes 8,1266,0.106,70.0,66,32,48.48,2.53 (2.03-3.03),34,51.52,4.00 (3.43-4.56),3.43,2.50
oligodendrocyte progenitor cells 12,3303,0.127,92.0,276,67,24.28,2.53 (2.23-2.82),209,75.72,3.94 (3.68-4.19),8.29,4.09
oligodendrocytes 10,2107,0.111,34.0,358,107,29.89,2.59 (2.33-2.85),251,70.11,4.55 (4.35-4.75),17.36,6.11
connective tissue cells 21,92,0.228,18.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1401,0.14,86.0,96,9,9.38,2.93 (2.00-3.86),87,90.62,3.70 (3.21-4.19),3.18,3.86
oligodendrocytes 16,78,0.234,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.104,54.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80),1.34,3.52
astrocytes microglia 23,255,0.261,54.0,57,10,17.54,3.07 (2.51-3.62),47,82.46,2.56 (2.14-2.98),1.93,3.63
astrocytes 4,721,0.138,25.0,61,5,8.2,3.18 (1.49-4.86),56,91.8,2.95 (2.52-3.38),2.52,6.33
oligodendrocytes 0,1186,0.118,14.0,300,32,10.67,3.56 (3.30-3.82),268,89.33,3.82 (3.59-4.05),4.45,4.12
microglia 1,958,0.133,78.0,290,22,7.59,2.84 (2.16-3.52),268,92.41,3.91 (3.67-4.15),4.27,5.06
oligodendrocytes 3,357,0.094,50.0,127,8,6.3,3.94 (2.87-5.01),119,93.7,3.08 (2.74-3.42),4.89,4.19
oligodendrocytes 2,921,0.141,57.0,200,6,3.0,2.39 (1.33-3.44),194,97.0,3.64 (3.38-3.91),3.36,3.47
