tipo_celular,module_size,DPP8_MM,DPP8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.157,17.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,282,0.229,83.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,932,0.087,16.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.141,59.0,353,15,4.25,1.78 (1.18-2.37),338,95.75,4.01 (3.83-4.20),24.65,7.33
GABA neurons expressing GLU receptors 22,1069,0.155,43.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1316,0.162,79.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,204,0.158,37.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,238,0.142,34.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.104,30.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,348,0.032,7.0,33,2,6.06,2.98 (2.51-3.45),31,93.94,2.72 (2.20-3.24),4.31,3.32
GABA like neurons 14,3052,0.12,33.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266,0.124,79.0,66,6,9.09,1.95 (0.84-3.05),60,90.91,3.38 (2.94-3.81),3.68,2.88
oligodendrocyte progenitor cells 12,3303,0.114,86.0,276,11,3.99,1.67 (1.06-2.28),265,96.01,3.64 (3.43-3.86),11.78,4.83
oligodendrocytes 10,2107,0.089,22.0,358,18,5.03,1.63 (1.11-2.15),340,94.97,4.02 (3.83-4.21),21.55,8.83
connective tissue cells 21,92,0.279,52.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,268,0.028,2.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,156,0.221,66.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,448,0.147,83.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,132,0.233,9.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,752,0.141,33.0,96,2,2.08,2.64 (2.44-2.84),94,97.92,3.31 (2.97-3.64),2.11,4.37
oligodendrocytes 0,1186,0.139,39.0,300,1,0.33,2.54 (NA-NA),299,99.67,3.80 (3.59-4.00),14.28,4.12
microglia 1,813,0.098,26.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.068,18.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.135,44.0,200,2,1.0,2.73 (1.22-4.24),198,99.0,3.63 (3.36-3.90),5.94,3.44
