tipo_celular,module_size,EID1_MM,EID1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.317,82.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,518,0.152,48.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35),4.21,4.77
astrocytes 5,228,0.208,66.0,266,10,3.76,1.79 (0.71-2.87),256,96.24,4.22 (4.02-4.42),5.06,4.98
oligodendrocyte progenitor cells 7,628,0.315,91.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,848,0.407,92.0,262,8,3.05,1.89 (0.24-3.54),254,96.95,4.22 (3.98-4.46),5.17,4.07
GLU like neurons 17,380,0.283,95.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,1220,0.436,95.0,410,5,1.22,2.32 (-1.15-5.78),405,98.78,4.26 (4.07-4.45),5.58,7.54
GABA neurons expressing GABA receptors 13,101,0.126,14.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,916,0.218,54.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,250,0.123,23.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.728,100.0,455,21,4.62,1.47 (0.95-1.98),434,95.38,4.52 (4.34-4.70),21.77,8.21
astrocytes 8,520,0.304,88.0,288,3,1.04,2.32 (-1.15-5.78),285,98.96,4.19 (3.99-4.39),5.99,4.67
oligodendrocyte progenitor cells 12,1049,0.156,76.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,806,0.281,76.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,142,0.289,31.0,55,8,14.55,1.78 (0.66-2.90),47,85.45,4.07 (3.12-5.02),2.31,3.45
astrocytes 15,458,0.075,38.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,313,0.229,55.0,291,3,1.03,2.32 (-1.15-5.78),288,98.97,4.34 (4.12-4.57),3.54,3.82
da neurons 6,729,0.169,60.0,182,5,2.75,1.47 (1.37-1.56),177,97.25,3.71 (3.46-3.96),3.80,8.65
astrocytes microglia 23,103,0.296,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157,0.185,54.0,178,7,3.93,1.10 (-0.08-2.29),171,96.07,4.29 (4.04-4.54),4.12,4.51
oligodendrocytes 0,546,0.258,82.0,252,16,6.35,1.13 (0.75-1.51),236,93.65,4.34 (4.11-4.58),9.67,8.11
microglia 1,214,0.209,59.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33),NA,6.12
oligodendrocytes 3,457,0.202,82.0,345,1,0.29,4.08 (NA-NA),344,99.71,4.27 (4.06-4.48),4.99,5.69
oligodendrocytes 2,526,0.361,77.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
