tipo_celular,module_size,STX12_MM,STX12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.156,21.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,518,0.225,85.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,423,0.089,6.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.134,48.0,353,54,15.3,2.90 (2.42-3.37),299,84.7,4.12 (3.93-4.31),20.80,5.76
GABA neurons expressing GLU receptors 22,714,0.17,44.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,229,0.184,39.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09),1.86,3.15
da like neurons 11,200,0.129,22.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,73,0.14,32.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,412,0.298,89.0,141,7,4.96,3.04 (2.05-4.02),134,95.04,2.96 (2.71-3.20),2.93,7.02
oligodendrocytes 20,279,0.147,27.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,3052,0.13,42.0,125,2,1.6,3.81 (NA-NA),123,98.4,3.35 (3.02-3.67),1.84,8.72
astrocytes 8,577,0.044,13.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,3303,0.089,63.0,276,33,11.96,2.83 (2.48-3.19),243,88.04,3.67 (3.43-3.92),14.15,3.88
oligodendrocytes 10,735,0.103,55.0,277,3,1.08,5.17 (5.12-5.21),274,98.92,3.88 (3.64-4.12),2.44,9.02
connective tissue cells 21,100,0.224,32.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,1768,0.038,6.0,105,24,22.86,2.83 (2.11-3.56),81,77.14,3.34 (2.96-3.71),6.25,3.30
oligodendrocytes 16,61,0.22,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409,0.089,25.0,235,10,4.26,3.62 (2.36-4.89),225,95.74,3.99 (3.74-4.25),5.19,4.38
astrocytes microglia 23,100,0.234,19.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96),NA,1.72
astrocytes 4,787,0.134,20.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,613,0.119,24.0,127,12,9.45,3.42 (3.13-3.71),115,90.55,2.99 (2.50-3.47),4.47,6.47
microglia 1,958,0.098,28.0,290,16,5.52,3.06 (2.49-3.63),274,94.48,3.87 (3.63-4.11),5.50,4.97
oligodendrocytes 3,1003,0.051,6.0,111,1,0.9,6.67 (NA-NA),110,99.1,3.27 (2.93-3.61),1.33,4.26
oligodendrocytes 2,921,0.118,20.0,200,15,7.5,3.63 (2.86-4.40),185,92.5,3.62 (3.34-3.90),4.17,3.41
