tipo_celular,module_size,SPG7_MM,SPG7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.104,11.0,98,5,5.1,1.10 (0.74-1.46),93,94.9,3.38 (2.90-3.86),8.71,13.71
T cells 18,282,0.099,6.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1141,0.083,3.0,166,8,4.82,1.23 (0.49-1.96),158,95.18,3.52 (3.28-3.77),5.86,4.48
oligodendrocyte progenitor cells 7,4285,0.076,2.0,353,29,8.22,1.48 (1.15-1.82),324,91.78,4.18 (4.00-4.35),26.27,6.43
GABA neurons expressing GLU receptors 22,703,0.19,53.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,1247,0.145,59.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,215,0.183,48.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,357,0.135,35.0,237,2,0.84,4.10 (2.43-5.77),235,99.16,4.41 (4.18-4.65),5.57,4.17
endothelial cells 9,1653,0.077,11.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,938,0.025,3.0,169,14,8.28,2.10 (1.47-2.72),155,91.72,3.63 (3.42-3.85),5.39,5.36
GABA like neurons 14,2090,0.093,10.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266,0.048,13.0,66,13,19.7,1.73 (0.94-2.52),53,80.3,3.67 (3.26-4.08),3.25,2.88
oligodendrocyte progenitor cells 12,3303,0.056,22.0,276,19,6.88,1.75 (1.40-2.10),257,93.12,3.72 (3.50-3.94),10.86,4.68
oligodendrocytes 10,1277,0.049,11.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,102,0.293,56.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57),1.35,1.43
astrocytes 15,1768,0.093,56.0,105,18,17.14,1.59 (1.19-1.99),87,82.86,3.58 (3.23-3.93),5.51,3.66
oligodendrocytes 16,92,0.245,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.068,9.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,115,0.273,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.15,46.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,2078,0.101,24.0,238,5,2.1,2.04 (1.05-3.02),233,97.9,3.68 (3.45-3.90),8.41,4.95
microglia 1,958,0.072,4.0,290,8,2.76,2.37 (1.43-3.31),282,97.24,3.87 (3.63-4.10),5.09,5.00
oligodendrocytes 3,639,0.065,21.0,15,7,46.67,1.42 (0.53-2.32),8,53.33,5.52 (4.23-6.80),2.40,2.06
oligodendrocytes 2,921,0.077,1.0,200,5,2.5,2.10 (1.38-2.83),195,97.5,3.67 (3.40-3.94),4.07,3.45
