tipo_celular,module_size,HNRNPU_MM,HNRNPU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.215,55.0,21,11,52.38,1.43 (0.81-2.06),10,47.62,3.36 (2.65-4.07),2.24,1.74
T cells 18,388,0.21,75.0,84,9,10.71,2.41 (2.26-2.55),75,89.29,3.04 (2.68-3.40),2.39,4.56
astrocytes 5,423,0.161,56.0,80,7,8.75,4.04 (2.89-5.19),73,91.25,3.33 (2.82-3.84),2.56,5.25
oligodendrocyte progenitor cells 7,666,0.231,82.0,127,28,22.05,3.62 (2.94-4.29),99,77.95,3.91 (3.52-4.30),3.27,6.57
GABA neurons expressing GLU receptors 22,400,0.225,66.0,24,17,70.83,2.14 (1.42-2.85),7,29.17,2.21 (1.93-2.48),3.88,2.85
GLU like neurons 17,637,0.124,34.0,91,24,26.37,2.40 (1.69-3.12),67,73.63,5.58 (5.13-6.03),3.67,2.84
da like neurons 11,408,0.132,35.0,25,12,48.0,2.43 (1.32-3.54),13,52.0,7.28 (6.27-8.29),2.04,2.50
GABA neurons expressing GABA receptors 13,86,0.048,2.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,385,0.185,88.0,275,134,48.73,3.35 (3.05-3.66),141,51.27,5.03 (4.67-5.39),7.88,3.98
oligodendrocytes 20,279,0.049,6.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96),1.61,3.75
GABA like neurons 14,2402,0.058,2.0,455,69,15.16,2.90 (2.50-3.30),386,84.84,4.69 (4.50-4.87),14.69,7.79
astrocytes 8,577,0.146,79.0,83,11,13.25,3.81 (2.28-5.34),72,86.75,3.18 (2.71-3.64),2.21,4.82
oligodendrocyte progenitor cells 12,138,0.468,53.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107,0.241,80.0,358,173,48.32,3.26 (3.01-3.52),185,51.68,4.67 (4.44-4.89),14.01,5.23
connective tissue cells 21,73,0.236,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.093,56.0,105,51,48.57,2.85 (2.40-3.30),54,51.43,3.56 (3.08-4.03),4.96,3.05
oligodendrocytes 16,199,0.165,48.0,3,1,33.33,3.56 (NA-NA),2,66.67,7.00 (NA-NA),1.49,6.40
da neurons 6,518,0.106,47.0,122,35,28.69,2.50 (2.08-2.92),87,71.31,4.77 (4.32-5.22),3.80,3.36
astrocytes microglia 23,253,0.275,63.0,47,11,23.4,2.82 (2.19-3.45),36,76.6,2.85 (2.46-3.24),2.04,3.40
astrocytes 4,514,0.226,68.0,95,17,17.89,2.63 (2.04-3.22),78,82.11,3.58 (3.08-4.08),2.46,5.12
oligodendrocytes 0,613,0.188,83.0,127,45,35.43,3.18 (2.73-3.63),82,64.57,2.93 (2.26-3.61),3.60,7.75
microglia 1,958,0.175,96.0,290,80,27.59,4.12 (3.74-4.50),210,72.41,3.67 (3.39-3.95),5.10,4.96
oligodendrocytes 3,1003,0.105,60.0,111,19,17.12,5.43 (4.83-6.03),92,82.88,2.82 (2.50-3.13),2.57,4.57
oligodendrocytes 2,921,0.143,62.0,200,48,24.0,4.43 (3.95-4.90),152,76.0,3.36 (3.06-3.66),4.14,3.25
