tipo_celular,module_size,MT-ND2_MM,MT-ND2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.207,65.0,73,3,4.11,4.91 (NA-NA),70,95.89,3.54 (3.19-3.89),2.56,3.25
T cells 18,506,0.066,3.0,225,38,16.89,3.42 (3.03-3.81),187,83.11,3.67 (3.36-3.97),3.57,8.78
astrocytes 5,222,0.183,39.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00),NA,2.65
oligodendrocyte progenitor cells 7,296,0.169,42.0,251,32,12.75,3.69 (3.50-3.88),219,87.25,4.15 (3.87-4.44),6.83,6.06
GABA neurons expressing GLU receptors 22,192,0.819,98.0,55,43,78.18,3.94 (3.58-4.29),12,21.82,4.41 (2.73-6.10),3.78,1.70
GLU like neurons 17,637,0.208,65.0,91,13,14.29,1.15 (0.64-1.67),78,85.71,5.27 (4.85-5.70),3.73,2.95
da like neurons 11,1220,0.285,78.0,410,78,19.02,3.80 (3.54-4.07),332,80.98,4.39 (4.16-4.62),15.61,5.61
GABA neurons expressing GABA receptors 13,238,0.261,87.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.186,70.0,191,6,3.14,2.69 (2.27-3.11),185,96.86,3.93 (3.71-4.16),2.49,9.37
oligodendrocytes 20,403,0.083,36.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,1300,0.034,2.0,306,7,2.29,1.73 (1.12-2.34),299,97.71,5.21 (4.95-5.47),4.85,6.75
astrocytes 8,47,0.702,87.0,76,23,30.26,4.06 (3.39-4.74),53,69.74,4.01 (3.68-4.34),5.23,4.33
oligodendrocyte progenitor cells 12,708,0.156,68.0,25,3,12.0,2.08 (0.04-4.13),22,88.0,3.00 (1.91-4.09),1.84,2.63
oligodendrocytes 10,806,0.337,84.0,261,41,15.71,3.74 (3.34-4.14),220,84.29,4.52 (4.24-4.80),4.31,6.39
connective tissue cells 21,125,0.077,0.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,418,0.595,97.0,54,22,40.74,3.55 (3.03-4.06),32,59.26,3.78 (3.12-4.44),3.27,2.83
oligodendrocytes 16,149,0.292,73.0,70,1,1.43,NA,69,98.57,5.65 (5.18-6.12),3.09,3.32
da neurons 6,553,0.367,99.0,124,5,4.03,2.37 (0.94-3.80),119,95.97,4.27 (3.87-4.67),2.46,3.06
astrocytes microglia 23,46,0.764,94.0,73,64,87.67,3.90 (3.62-4.18),9,12.33,6.54 (5.58-7.51),5.55,3.30
astrocytes 4,157,0.484,95.0,178,69,38.76,3.45 (3.12-3.78),109,61.24,4.81 (4.45-5.17),5.72,3.72
oligodendrocytes 0,116,0.543,95.0,169,10,5.92,3.03 (2.63-3.43),159,94.08,4.39 (4.07-4.70),3.78,6.66
microglia 1,214,0.232,66.0,227,65,28.63,3.80 (3.55-4.06),162,71.37,4.26 (3.92-4.60),9.11,4.92
oligodendrocytes 3,32,0.778,88.0,81,70,86.42,3.90 (3.62-4.18),11,13.58,5.61 (4.17-7.06),8.53,3.61
oligodendrocytes 2,99,0.529,94.0,116,9,7.76,2.97 (2.61-3.32),107,92.24,4.07 (3.75-4.39),3.34,7.56
