tipo_celular,module_size,DSTYK_MM,DSTYK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.102,12.0,73,8,10.96,4.11 (3.75-4.47),65,89.04,3.48 (3.09-3.87),2.41,3.32
T cells 18,610,0.148,47.0,98,7,7.14,1.24 (0.55-1.92),91,92.86,3.28 (2.97-3.60),6.00,3.89
astrocytes 5,932,0.081,10.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285,0.132,46.0,353,9,2.55,1.32 (0.68-1.95),344,97.45,3.98 (3.79-4.16),24.28,7.64
GABA neurons expressing GLU receptors 22,848,0.167,31.0,262,5,1.91,1.48 (-0.05-3.01),257,98.09,4.23 (3.99-4.47),3.73,4.11
GLU like neurons 17,1316,0.168,82.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,142,0.144,27.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,238,0.135,31.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,586,0.052,2.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,348,0.104,45.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24),1.87,3.43
GABA like neurons 14,2402,0.151,25.0,455,4,0.88,0.65 (0.34-0.95),451,99.12,4.39 (4.20-4.57),40.27,8.56
astrocytes 8,1266,0.04,6.0,66,5,7.58,1.68 (0.49-2.88),61,92.42,3.37 (2.95-3.80),2.87,2.96
oligodendrocyte progenitor cells 12,3303,0.048,13.0,276,10,3.62,1.87 (1.21-2.54),266,96.38,3.62 (3.40-3.85),7.21,5.03
oligodendrocytes 10,806,0.119,34.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62),8.93,6.05
connective tissue cells 21,104,0.288,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401,0.086,51.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14),1.67,3.87
oligodendrocytes 16,91,0.207,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.139,58.0,124,3,2.42,4.05 (2.93-5.17),121,97.58,4.19 (3.78-4.59),2.60,3.04
astrocytes microglia 23,107,0.378,85.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,787,0.148,43.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.116,13.0,300,7,2.33,3.36 (2.87-3.85),293,97.67,3.81 (3.60-4.02),5.76,4.12
microglia 1,1615,0.071,4.0,161,9,5.59,1.43 (0.66-2.21),152,94.41,3.41 (3.14-3.68),9.73,5.18
oligodendrocytes 3,743,0.064,24.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.131,38.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
