tipo_celular,module_size,CCPG1_MM,CCPG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.173,29.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,727,0.154,59.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.125,40.0,166,3,1.81,1.23 (-0.45-2.91),163,98.19,3.44 (3.19-3.69),2.20,4.59
oligodendrocyte progenitor cells 7,4285,0.136,51.0,353,4,1.13,1.41 (0.17-2.65),349,98.87,3.93 (3.74-4.11),12.34,8.01
GABA neurons expressing GLU receptors 22,823,0.191,57.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247,0.222,89.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204,0.227,67.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,265,0.144,42.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,338,0.11,38.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,322,0.111,44.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300,0.232,61.0,306,6,1.96,1.02 (0.56-1.49),300,98.04,5.21 (4.96-5.47),5.51,6.73
astrocytes 8,520,0.044,9.0,288,2,0.69,0.92 (0.19-1.65),286,99.31,4.20 (4.00-4.40),4.77,4.68
oligodendrocyte progenitor cells 12,3303,0.085,58.0,276,5,1.81,1.30 (0.70-1.89),271,98.19,3.60 (3.38-3.81),5.59,5.10
oligodendrocytes 10,735,0.172,82.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,102,0.175,3.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75),NA,1.41
astrocytes 15,261,0.211,79.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71),NA,1.83
oligodendrocytes 16,90,0.181,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.2,96.0,122,3,2.46,1.15 (0.15-2.14),119,97.54,4.08 (3.69-4.47),5.59,3.43
astrocytes microglia 23,115,0.224,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.147,41.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613,0.131,40.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,1615,0.115,58.0,161,3,1.86,0.90 (-0.14-1.94),158,98.14,3.33 (3.06-3.59),5.29,5.43
oligodendrocytes 3,357,0.093,49.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,528,0.15,19.0,175,3,1.71,1.71 (1.27-2.16),172,98.29,4.45 (4.10-4.80),3.84,4.63
