tipo_celular,module_size,ROCK2_MM,ROCK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.18,61.0,32,2,6.25,6.58 (5.40-7.76),30,93.75,3.50 (2.73-4.26),1.52,3.75
T cells 18,624,0.139,39.0,142,12,8.45,4.48 (3.73-5.23),130,91.55,3.10 (2.82-3.37),3.61,4.36
astrocytes 5,1141,0.14,64.0,166,56,33.73,3.03 (2.65-3.41),110,66.27,3.62 (3.29-3.94),3.97,4.85
oligodendrocyte progenitor cells 7,4285,0.161,87.0,353,90,25.5,2.99 (2.67-3.32),263,74.5,4.30 (4.09-4.50),12.26,6.63
GABA neurons expressing GLU receptors 22,400,0.151,23.0,24,14,58.33,2.46 (1.69-3.23),10,41.67,1.73 (1.22-2.24),3.92,3.11
GLU like neurons 17,685,0.125,46.0,135,60,44.44,2.96 (2.59-3.32),75,55.56,3.43 (2.94-3.92),3.60,3.87
da like neurons 11,61,0.494,92.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,93,0.182,70.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,586,0.246,57.0,62,11,17.74,4.76 (3.95-5.57),51,82.26,3.86 (3.35-4.37),2.61,4.55
oligodendrocytes 20,279,0.203,49.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96),1.61,3.75
GABA like neurons 14,1300,0.092,8.0,306,77,25.16,4.19 (3.78-4.61),229,74.84,5.58 (5.27-5.89),5.42,7.14
astrocytes 8,727,0.053,12.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.071,39.0,276,65,23.55,2.79 (2.46-3.11),211,76.45,3.86 (3.59-4.12),6.64,4.64
oligodendrocytes 10,735,0.031,3.0,277,4,1.44,6.07 (4.82-7.31),273,98.56,3.86 (3.62-4.10),2.22,9.04
connective tissue cells 21,90,0.247,24.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29),NA,1.41
astrocytes 15,338,0.122,29.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,51,0.216,32.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,448,0.091,36.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80),3.42,3.48
astrocytes microglia 23,190,0.243,35.0,7,5,71.43,4.87 (3.54-6.19),2,28.57,4.70 (NA-NA),1.81,1.81
astrocytes 4,255,0.131,15.0,12,2,16.67,5.61 (5.41-5.82),10,83.33,4.12 (3.17-5.08),1.36,2.53
oligodendrocytes 0,1186,0.132,30.0,300,39,13.0,4.12 (3.64-4.59),261,87.0,3.75 (3.52-3.97),4.81,4.06
microglia 1,1615,0.119,64.0,161,56,34.78,2.43 (2.12-2.74),105,65.22,3.87 (3.53-4.22),6.39,4.92
oligodendrocytes 3,854,0.064,18.0,76,11,14.47,3.18 (2.27-4.09),65,85.53,2.71 (2.35-3.06),2.80,5.05
oligodendrocytes 2,347,0.138,16.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
