tipo_celular,module_size,GPR107_MM,GPR107_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.156,16.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,624,0.132,32.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932,0.099,36.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285,0.168,93.0,353,19,5.38,1.63 (1.11-2.14),334,94.62,4.06 (3.88-4.24),38.45,6.34
GABA neurons expressing GLU receptors 22,1069,0.181,62.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489,0.121,37.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,853,0.129,49.0,133,10,7.52,1.38 (0.65-2.11),123,92.48,3.44 (3.12-3.75),6.31,3.99
GABA neurons expressing GABA receptors 13,357,0.156,48.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,1653,0.083,16.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,358,0.181,62.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052,0.079,8.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266,0.071,39.0,66,14,21.21,1.77 (1.01-2.53),52,78.79,3.70 (3.29-4.11),4.23,2.61
oligodendrocyte progenitor cells 12,3303,0.092,66.0,276,16,5.8,2.73 (2.00-3.45),260,94.2,3.61 (3.38-3.83),15.63,4.46
oligodendrocytes 10,735,0.049,12.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,96,0.269,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443,0.169,63.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,74,0.099,2.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,518,0.114,55.0,122,15,12.3,1.89 (1.25-2.52),107,87.7,4.39 (4.00-4.79),4.46,3.35
astrocytes microglia 23,70,0.199,12.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,721,0.147,41.0,61,1,1.64,5.10 (NA-NA),60,98.36,2.93 (2.52-3.34),1.48,6.10
oligodendrocytes 0,2078,0.105,31.0,238,4,1.68,2.11 (0.75-3.46),234,98.32,3.67 (3.45-3.89),6.11,5.00
microglia 1,1615,0.104,41.0,161,17,10.56,1.57 (1.00-2.14),144,89.44,3.52 (3.26-3.79),17.27,4.03
oligodendrocytes 3,854,0.038,2.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.138,50.0,200,2,1.0,2.12 (1.88-2.35),198,99.0,3.64 (3.37-3.91),1.84,3.48
