tipo_celular,module_size,RAB6A_MM,RAB6A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.155,46.0,97,7,7.22,3.41 (2.95-3.87),90,92.78,3.03 (2.60-3.45),3.98,4.98
T cells 18,624,0.205,84.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,423,0.094,10.0,80,1,1.25,3.56 (NA-NA),79,98.75,3.40 (2.92-3.88),1.41,5.06
oligodendrocyte progenitor cells 7,448,0.095,16.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069,0.082,5.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.166,71.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30),2.29,3.30
da like neurons 11,853,0.154,64.0,133,13,9.77,1.43 (0.76-2.10),120,90.23,3.49 (3.18-3.81),5.53,4.01
GABA neurons expressing GABA receptors 13,75,0.105,7.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,1653,0.101,27.0,297,5,1.68,4.98 (3.28-6.67),292,98.32,3.64 (3.44-3.85),4.53,5.54
oligodendrocytes 20,295,0.099,16.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300,0.129,16.0,306,33,10.78,3.44 (2.87-4.01),273,89.22,5.40 (5.13-5.67),11.95,6.07
astrocytes 8,577,0.098,60.0,83,4,4.82,3.12 (2.59-3.65),79,95.18,3.26 (2.78-3.74),2.79,4.56
oligodendrocyte progenitor cells 12,103,0.435,35.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41),1.99,3.26
oligodendrocytes 10,806,0.119,34.0,261,53,20.31,3.78 (3.31-4.25),208,79.69,4.50 (4.23-4.78),5.20,6.29
connective tissue cells 21,114,0.231,24.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89),3.65,1.99
astrocytes 15,1401,0.105,67.0,96,6,6.25,3.83 (3.06-4.59),90,93.75,3.59 (3.11-4.08),2.98,3.85
oligodendrocytes 16,64,0.188,50.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,553,0.081,13.0,124,11,8.87,3.79 (2.76-4.83),113,91.13,4.22 (3.80-4.64),2.65,3.07
astrocytes microglia 23,255,0.25,45.0,57,6,10.53,2.87 (2.67-3.08),51,89.47,2.63 (2.23-3.03),3.29,3.34
astrocytes 4,752,0.124,13.0,96,2,2.08,4.78 (3.49-6.08),94,97.92,3.25 (2.92-3.58),1.60,4.38
oligodendrocytes 0,1186,0.132,30.0,300,3,1.0,4.16 (2.10-6.22),297,99.0,3.79 (3.58-3.99),1.91,4.18
microglia 1,813,0.087,13.0,79,10,12.66,3.20 (2.75-3.66),69,87.34,3.08 (2.62-3.55),2.93,8.62
oligodendrocytes 3,639,0.107,59.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13),2.82,1.92
oligodendrocytes 2,804,0.166,66.0,84,8,9.52,1.76 (1.02-2.50),76,90.48,2.81 (2.46-3.17),3.19,3.42
