tipo_celular,module_size,FXR1_MM,FXR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.155,15.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,477,0.104,11.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.129,47.0,166,55,33.13,2.86 (2.47-3.25),111,66.87,3.73 (3.42-4.04),5.04,4.31
oligodendrocyte progenitor cells 7,666,0.148,34.0,127,24,18.9,3.41 (2.80-4.02),103,81.1,3.99 (3.59-4.38),3.81,6.31
GABA neurons expressing GLU receptors 22,400,0.158,26.0,24,14,58.33,1.91 (1.15-2.67),10,41.67,2.50 (1.91-3.09),4.29,2.59
GLU like neurons 17,1316,0.145,68.0,101,4,3.96,2.70 (2.31-3.08),97,96.04,3.07 (2.70-3.44),2.43,3.08
da like neurons 11,1220,0.125,27.0,410,28,6.83,3.41 (2.96-3.86),382,93.17,4.33 (4.13-4.52),8.23,7.46
GABA neurons expressing GABA receptors 13,417,0.097,7.0,213,32,15.02,2.07 (1.62-2.52),181,84.98,4.17 (3.94-4.41),7.38,10.09
endothelial cells 9,385,0.228,93.0,275,105,38.18,3.09 (2.76-3.41),170,61.82,4.87 (4.55-5.19),8.18,4.46
oligodendrocytes 20,938,0.138,56.0,169,15,8.88,2.51 (1.84-3.19),154,91.12,3.60 (3.37-3.82),5.48,5.35
GABA like neurons 14,2402,0.379,77.0,455,55,12.09,2.78 (2.33-3.24),400,87.91,4.63 (4.44-4.81),15.36,7.94
astrocytes 8,354,0.132,57.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,143,0.424,48.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA,1.31,NA
oligodendrocytes 10,735,0.108,57.0,277,2,0.72,4.81 (NA-NA),275,99.28,3.89 (3.65-4.13),2.02,9.00
connective tissue cells 21,152,0.156,7.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1768,0.176,97.0,105,44,41.9,2.79 (2.32-3.27),61,58.1,3.53 (3.08-3.98),5.04,3.21
oligodendrocytes 16,107,0.123,2.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,409,0.113,44.0,235,10,4.26,2.20 (1.62-2.78),225,95.74,4.09 (3.83-4.34),4.83,4.40
astrocytes microglia 23,255,0.238,32.0,57,9,15.79,2.77 (2.39-3.14),48,84.21,2.63 (2.21-3.05),2.85,3.42
astrocytes 4,255,0.187,60.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613,0.23,95.0,127,31,24.41,3.03 (2.47-3.60),96,75.59,3.06 (2.50-3.62),3.56,7.16
microglia 1,958,0.172,95.0,290,63,21.72,4.07 (3.60-4.54),227,78.28,3.73 (3.47-3.99),5.00,5.00
oligodendrocytes 3,681,0.153,87.0,87,46,52.87,2.27 (1.98-2.57),41,47.13,3.00 (2.53-3.47),5.06,3.32
oligodendrocytes 2,528,0.216,59.0,175,9,5.14,3.24 (2.35-4.14),166,94.86,4.47 (4.11-4.84),3.05,4.70
